RoundTrip,TxTime,RxTime
18446744073709551615,1756158904769059507,1756158904769693237
18446744073709551615,1756158904809108897,1756158904809748899
18446744073709551615,1756158904849172255,1756158904849801175
18446744073709551615,1756158904889245862,1756158904889865985
18446744073709551615,1756158904929324455,1756158904929945069
18446744073709551615,1756158904969403981,1756158904970025327
18446744073709551615,1756158905009483374,1756158905010162890
18446744073709551615,1756158905049562425,1756158905050222866
18446744073709551615,1756158905089640898,1756158905090276665
18446744073709551615,1756158905129714986,1756158905130370484
18446744073709551615,1756158905169779807,1756158905170430373
18446744073709551615,1756158905209857985,1756158905210499062
18446744073709551615,1756158905249936610,1756158905250566752
18446744073709551615,1756158905290012724,1756158905290649119
18446744073709551615,1756158905330092307,1756158905330727816
18446744073709551615,1756158905370161395,1756158905370805656
18446744073709551615,1756158905410229141,1756158905410865016
18446744073709551615,1756158905450306007,1756158905450986752
18446744073709551615,1756158905490387103,1756158905491025640
18446744073709551615,1756158905530466793,1756158905531089687
18446744073709551615,1756158905570541616,1756158905571174026
18446744073709551615,1756158905610620212,1756158905611243348
18446744073709551615,1756158905650699048,1756158905651318444
18446744073709551615,1756158905690772788,1756158905691399578
18446744073709551615,1756158905730846838,1756158905731485522
18446744073709551615,1756158905770924343,1756158905771563113
18446744073709551615,1756158905810998141,1756158905811643834
18446744073709551615,1756158905851070886,1756158905851692421
18446744073709551615,1756158905891145416,1756158905891770368
18446744073709551615,1756158905931225042,1756158905931841639
18446744073709551615,1756158905971299261,1756158905971942479
18446744073709551615,1756158906011376801,1756158906012014282
18446744073709551615,1756158906051454911,1756158906052072075
18446744073709551615,1756158906091528272,1756158906092147913
18446744073709551615,1756158906131601887,1756158906132220541
18446744073709551615,1756158906171665639,1756158906172310215
18446744073709551615,1756158906211744029,1756158906212374953
18446744073709551615,1756158906251818167,1756158906252452803
18446744073709551615,1756158906291897317,1756158906292535050
18446744073709551615,1756158906331983938,1756158906332605873
18446744073709551615,1756158906372049210,1756158906372672159
18446744073709551615,1756158906412123026,1756158906412751994
18446744073709551615,1756158906452201942,1756158906452815372
18446744073709551615,1756158906492280831,1756158906492903859
18446744073709551615,1756158906532357111,1756158906532988832
18446744073709551615,1756158906572431295,1756158906573067073
18446744073709551615,1756158906612511786,1756158906613138513
18446744073709551615,1756158906652588921,1756158906653208011
18446744073709551615,1756158906692668182,1756158906693289526
18446744073709551615,1756158906732748030,1756158906733374704
18446744073709551615,1756158906772826243,1756158906773455271
18446744073709551615,1756158906812898502,1756158906813546362
18446744073709551615,1756158906852984888,1756158906853641093
18446744073709551615,1756158906893064177,1756158906893709877
18446744073709551615,1756158906933138856,1756158906933767283
18446744073709551615,1756158906973207671,1756158906973836736
18446744073709551615,1756158907013288017,1756158907013923083
18446744073709551615,1756158907053365291,1756158907053990273
18446744073709551615,1756158907093437902,1756158907094058461
18446744073709551615,1756158907133519693,1756158907134155698
18446744073709551615,1756158907173599125,1756158907174241593
18446744073709551615,1756158907213665856,1756158907214316898
