Timers,TxTime,RxTime
723888,1757354277444514548,1757354277436519088
721379,1757354277478089822,1757354277470094391
722809,1757354277511759429,1757354277503764041
722728,1757354277545467546,1757354277537472011
721179,1757354277579134061,1757354277571138457
738819,1757354277612806307,1757354277604822232
722478,1757354277646273671,1757354277638277479
722278,1757354277679938498,1757354277671942798
721969,1757354277713618783,1757354277705622591
721608,1757354277747061767,1757354277739066283
729548,1757354277780724583,1757354277772736361
724069,1757354277814388398,1757354277806393376
723568,1757354277848086426,1757354277840091703
723968,1757354277881777632,1757354277873782620
720658,1757354277915191225,1757354277907195029
721628,1757354277948899941,1757354277940904376
722987,1757354277982564968,1757354277974569588
737079,1757354278016231433,1757354278008235940
721118,1757354278049993152,1757354278041997629
722729,1757354278083698237,1757354278075702709
723558,1757354278117390974,1757354278109396328
722157,1757354278151062351,1757354278143067284
722379,1757354278184524093,1757354278176528592
721088,1757354278218191830,1757354278210196103
722488,1757354278251855216,1757354278243859187
719858,1757354278285267979,1757354278277271222
720877,1757354278318941406,1757354278310944797
720608,1757354278352364369,1757354278344368123
721539,1757354278385944224,1757354278377948458
722508,1757354278419610340,1757354278411614773
731108,1757354278453236895,1757354278445240588
722888,1757354278486903862,1757354278478908666
720678,1757354278520571978,1757354278512575768
720558,1757354278553997651,1757354278546001421
722288,1757354278587686756,1757354278579690821
725539,1757354278621352222,1757354278613360521
722389,1757354278655029629,1757354278647034140
722628,1757354278688694566,1757354278680698802
768709,1757354278722366421,1757354278714391860
721509,1757354278756038407,1757354278748043005
722140,1757354278789704773,1757354278781709272
720769,1757354278823125286,1757354278815129287
722738,1757354278856810133,1757354278848814719
722488,1757354278890474139,1757354278882478140
720078,1757354278923887012,1757354278915890386
723788,1757354278957576288,1757354278949581278
722289,1757354278991260745,1757354278983266187
720788,1757354279024931271,1757354279016935107
724808,1757354279058623397,1757354279050629460
720659,1757354279092255342,1757354279084258909
722348,1757354279125920060,1757354279117924797
722899,1757354279159593155,1757354279151597539
721269,1757354279193054218,1757354279185058829
722508,1757354279226737855,1757354279218741970
723699,1757354279260400410,1757354279252405372
720538,1757354279294057518,1757354279286061376
723239,1757354279327774583,1757354279319779897
723298,1757354279361476560,1757354279353481118
724699,1757354279395159636,1757354279387165414
722649,1757354279428856242,1757354279420861641
723668,1757354279462552990,1757354279454558188
721628,1757354279496249836,1757354279488254730
720408,1757354279529669579,1757354279521673275
721449,1757354279563359325,1757354279555363940
722239,1757354279597028051,1757354279589032600
721658,1757354279630643977,1757354279622649206
723898,1757354279664352044,1757354279656359553
720589,1757354279697774506,1757354279689778723
720518,1757354279731197130,1757354279723200695
723029,1757354279764862436,1757354279756867626
723658,1757354279798572342,1757354279790577569
722028,1757354279832260469,1757354279824265874
723799,1757354279865985125,1757354279857990600
722498,1757354279899667981,1757354279891673031
722228,1757354279933364638,1757354279925369953
721618,1757354279967070975,1757354279959075751
723278,1757354280000749801,1757354279992755226
723219,1757354280034416746,1757354280026421848
722738,1757354280068134883,1757354280060140309
721208,1757354280101818221,1757354280093822463
722989,1757354280135289993,1757354280127295077
722609,1757354280168749736,1757354280160754096
723450,1757354280202210681,1757354280194215717
722789,1757354280235673264,1757354280227678111
732178,1757354280269182469,1757354280261195404
722639,1757354280302657903,1757354280294662772
723059,1757354280336069465,1757354280328075743
721889,1757354280369482548,1757354280361487312
720878,1757354280402939042,1757354280394943309
725299,1757354280436352025,1757354280428359566
723338,1757354280470018922,1757354280462023287
723448,1757354280503683508,1757354280495688545
721518,1757354280537326213,1757354280529330198
720619,1757354280571014409,1757354280563018059
722599,1757354280604683106,1757354280596687612
720068,1757354280638200020,1757354280630203775
722748,1757354280671865257,1757354280663869889
722958,1757354280705530752,1757354280697535792
721068,1757354280739183958,1757354280731187729
722428,1757354280772847835,1757354280764852607
728318,1757354280806390669,1757354280798398746
722959,1757354280840061865,1757354280832066678
720828,1757354280873705041,1757354280865709045
721329,1757354280907122003,1757354280899126239
722590,1757354280940804829,1757354280932809689
719828,1757354280974433856,1757354280966437408
720138,1757354281008111172,1757354281000115022
721878,1757354281041807099,1757354281033812080
719999,1757354281075221121,1757354281067224740
720099,1757354281108638914,1757354281100642793
720998,1757354281142305561,1757354281134309875
722398,1757354281175784745,1757354281167789624
719428,1757354281209416421,1757354281201419744
721880,1757354281243081056,1757354281235085736
721079,1757354281276504410,1757354281268508501
721019,1757354281310176695,1757354281302181278
722838,1757354281343844082,1757354281335849074
722869,1757354281377515498,1757354281369520160
721539,1757354281411182144,1757354281403186948
721639,1757354281444813030,1757354281436817718
721870,1757354281478276242,1757354281470280680
721988,1757354281511940310,1757354281503945588
721948,1757354281545626406,1757354281537631226
721349,1757354281579293752,1757354281571298732
721848,1757354281612996519,1757354281605001367
720759,1757354281646626274,1757354281638630444
721528,1757354281680298471,1757354281672303795
721119,1757354281714003437,1757354281706008426
723618,1757354281747465400,1757354281739470948
721240,1757354281781137396,1757354281773142111
723438,1757354281814802684,1757354281806807971
723639,1757354281848470678,1757354281840476168
721659,1757354281882163485,1757354281874168916
721449,1757354281915584848,1757354281907589293
721058,1757354281949270606,1757354281941275673
721258,1757354281982984482,1757354281974989619
720038,1757354282016612457,1757354282008616526
721758,1757354282050276652,1757354282042281694
751580,1757354282083951328,1757354282075986208
722749,1757354282117625555,1757354282109630909
722569,1757354282151292831,1757354282143298558
720308,1757354282184919658,1757354282176923187
721778,1757354282218582853,1757354282210587717
721069,1757354282252247909,1757354282244252771
720249,1757354282285661382,1757354282277665649
720799,1757354282319288928,1757354282311293088
721660,1757354282352979894,1757354282344984648
722610,1757354282386673070,1757354282378678632
721658,1757354282420337778,1757354282412342668
722248,1757354282454002434,1757354282446007185
720559,1757354282487680909,1757354282479684695
724118,1757354282521145633,1757354282513151634
722128,1757354282554850589,1757354282546855337
723038,1757354282588545176,1757354282580550760
721388,1757354282622204282,1757354282614208819
722959,1757354282655926428,1757354282647931950
722509,1757354282689397122,1757354282681401977
722230,1757354282722866195,1757354282714870744
723019,1757354282756338759,1757354282748343873
725378,1757354282790014216,1757354282782019329
720968,1757354282823436029,1757354282815440802
722489,1757354282857101544,1757354282849106586
723240,1757354282890778250,1757354282882783662
721118,1757354282924410047,1757354282916414313
720859,1757354282957978152,1757354282949982155
721799,1757354282991641557,1757354282983646644
722409,1757354283025316214,1757354283017321909
721519,1757354283058732827,1757354283050737382
722660,1757354283092429112,1757354283084435871
721678,1757354283126101560,1757354283118107097
723618,1757354283159781676,1757354283151787455
722958,1757354283193257470,1757354283185263850
722619,1757354283226722093,1757354283218727672
722348,1757354283260185618,1757354283252190972
720229,1757354283293606430,1757354283285610748
722178,1757354283327273746,1757354283319279188
723479,1757354283360941492,1757354283352946916
720658,1757354283394567199,1757354283386571914
721448,1757354283428271845,1757354283420277133
722488,1757354283461985661,1757354283453990830
722959,1757354283495679137,1757354283487684979
721218,1757354283529100522,1757354283521105672
721688,1757354283562522194,1757354283554527551
722058,1757354283596222811,1757354283588228156
722388,1757354283629888077,1757354283621893486
721249,1757354283663537162,1757354283655541852
720758,1757354283696945386,1757354283688949772
722668,1757354283730694762,1757354283722700217
722008,1757354283764389720,1757354283756395229
722438,1757354283797853384,1757354283789858474
723208,1757354283831561430,1757354283823566905
722239,1757354283865226875,1757354283857232667
723710,1757354283898929991,1757354283890936057
723688,1757354283932623459,1757354283924629464
721518,1757354283966314685,1757354283958319878
723788,1757354283999786529,1757354283991792863
722180,1757354284033448824,1757354284025454543
722418,1757354284067157472,1757354284059162754
722819,1757354284100855478,1757354284092860788
722708,1757354284134542174,1757354284126547542
