Timers,TxTime,RxTime
6895299,1756318420308213618,1756318420311659671
6887992,1756318420341584301,1756318420345026269
6886723,1756318420374977680,1756318420378423083
6891521,1756318420408371284,1756318420411819022
6899860,1756318420441767671,1756318420445216549
6895148,1756318420475159104,1756318420478607787
6894127,1756318420508558333,1756318420512006439
6890316,1756318420541957311,1756318420545404173
6892187,1756318420575349933,1756318420578795413
6890774,1756318420608764564,1756318420612211528
6883523,1756318420642167447,1756318420645610712
6887750,1756318420675561646,1756318420679005407
6888815,1756318420708979413,1756318420712422623
6884114,1756318420742396449,1756318420745843620
6888584,1756318420775791257,1756318420779232826
6893687,1756318420809207294,1756318420812653757
6896098,1756318420842617530,1756318420846064899
6889810,1756318420876010392,1756318420879454475
6893120,1756318420909412357,1756318420912857093
6890214,1756318420942827378,1756318420946272992
6896901,1756318420976223377,1756318420979669955
6889728,1756318421009638325,1756318421013081341
6898856,1756318421043041526,1756318421046493078
6894182,1756318421076436385,1756318421079885584
6892270,1756318421109851774,1756318421113294742
6885545,1756318421143255182,1756318421146694510
6890910,1756318421176669106,1756318421180116852
6886789,1756318421210072539,1756318421213517860
6894335,1756318421243486547,1756318421246931966
6891461,1756318421276880648,1756318421280327653
6897975,1756318421310283764,1756318421313730709
6894823,1756318421343699529,1756318421347148617
6896467,1756318421377102033,1756318421380549983
6890902,1756318421410516508,1756318421413964382
6895594,1756318421443930986,1756318421447379229
6895455,1756318421477327154,1756318421480778137
6888919,1756318421510742620,1756318421514189385
6889471,1756318421544146011,1756318421547590561
6891349,1756318421577540490,1756318421580988751
6894476,1756318421610957973,1756318421614406446
6895316,1756318421644360356,1756318421647811068
6898507,1756318421677753886,1756318421681204110
6895769,1756318421711156866,1756318421714605745
6888751,1756318421744571559,1756318421748019364
6891912,1756318421777964443,1756318421781409667
6896046,1756318421811378201,1756318421814824047
6894938,1756318421844792108,1756318421848241783
6894579,1756318421878187162,1756318421881634576
6887831,1756318421911602350,1756318421915044792
6896962,1756318421945002267,1756318421948450364
