Timers,TxTime,RxTime
6929530,1756318280477385319,1756318280480858625
6918876,1756318280510756906,1756318280514223164
7026293,1756318280544163313,1756318280547732737
7017082,1756318280577554943,1756318280581116038
6933328,1756318280610957724,1756318280614435280
6912145,1756318280644345733,1756318280647802140
6975355,1756318280677757891,1756318280681265897
6930797,1756318280711172295,1756318280714649701
6950575,1756318280744570056,1756318280748060798
7018593,1756318280777961325,1756318280781521958
6932533,1756318280811351030,1756318280814827636
7037883,1756318280844740337,1756318280848296035
7009522,1756318280878137857,1756318280881694415
6975211,1756318280911553025,1756318280915040837
6996912,1756318280944960192,1756318280948506938
6945899,1756318280978340550,1756318280981809228
6924601,1756318281011743572,1756318281015209382
7003710,1756318281045133691,1756318281048686820
7010644,1756318281078546340,1756318281082104322
6934688,1756318281111963177,1756318281115438287
7012890,1756318281145376010,1756318281148932765
6966810,1756318281178770124,1756318281182271910
6916867,1756318281212160386,1756318281215624317
7008590,1756318281245565172,1756318281249122396
7007234,1756318281278967464,1756318281282518198
6925654,1756318281312362679,1756318281315832162
6932718,1756318281345756630,1756318281349234543
7002976,1756318281379145999,1756318281382698524
6927782,1756318281412557177,1756318281416030890
6945310,1756318281445969734,1756318281449459075
6930674,1756318281479382354,1756318281482854650
6924689,1756318281512778029,1756318281516246284
6945988,1756318281546190871,1756318281549679512
7011631,1756318281579603947,1756318281583157627
6940863,1756318281613016199,1756318281616490633
6941194,1756318281646424514,1756318281649908932
7017495,1756318281679838943,1756318281683401084
6926209,1756318281713231631,1756318281716701722
7015261,1756318281746637587,1756318281750197322
6938357,1756318281780045234,1756318281783529575
6923183,1756318281813443874,1756318281816917173
7020838,1756318281846831799,1756318281850397834
7010017,1756318281880226501,1756318281883782753
6926666,1756318281913638324,1756318281917109947
7038114,1756318281947050550,1756318281950631079
6928733,1756318281980439999,1756318281983910580
6928590,1756318282013834186,1756318282017308762
6962170,1756318282047249576,1756318282050757071
6949878,1756318282080661604,1756318282084152537
6932212,1756318282114058670,1756318282117533995
6955773,1756318282147469366,1756318282150969023
6936478,1756318282180886463,1756318282184371599
6927455,1756318282214299152,1756318282217771651
7014176,1756318282247709462,1756318282251267955
7023288,1756318282281120583,1756318282284686702
6926586,1756318282314512577,1756318282317984752
7012019,1756318282347905025,1756318282351459562
7023418,1756318282381316904,1756318282384886925
6926152,1756318282414727609,1756318282418199237
7010169,1756318282448137906,1756318282451692340
7009833,1756318282481548419,1756318282485100651
6928196,1756318282514943568,1756318282518416821
6936608,1756318282548340734,1756318282551817475
6939193,1756318282581751189,1756318282585237080
6926826,1756318282615162965,1756318282618633761
7007032,1756318282648574104,1756318282652128781
6934384,1756318282681984871,1756318282685468552
6937772,1756318282715394478,1756318282718874719
7014091,1756318282748805283,1756318282752364089
7009882,1756318282782217525,1756318282785769887
6922012,1756318282815629087,1756318282819101640
6946820,1756318282849021564,1756318282852513440
7020194,1756318282882437664,1756318282886004072
6936913,1756318282915850104,1756318282919328563
7012040,1756318282949254779,1756318282952812811
6940846,1756318282982664772,1756318282986151012
6927253,1756318283016062202,1756318283019534650
6952986,1756318283049466469,1756318283052963433
6941020,1756318283082880613,1756318283086368012
7015932,1756318283116287991,1756318283119842123
6995811,1756318283149681253,1756318283153227131
7009340,1756318283183092100,1756318283186645565
6930250,1756318283216505154,1756318283219982151
7021096,1756318283249916172,1756318283253483328
7022128,1756318283283326486,1756318283286898182
6920266,1756318283316715390,1756318283320180301
6923935,1756318283350112084,1756318283353580688
6924290,1756318283383527012,1756318283386999801
6921886,1756318283416936676,1756318283420401941
6924733,1756318283450347405,1756318283453819221
6944345,1756318283483742592,1756318283487222241
6932025,1756318283517138028,1756318283520609684
7031351,1756318283550551440,1756318283554126841
6957993,1756318283583967553,1756318283587466633
7022180,1756318283617383316,1756318283620941983
7105715,1756318283650799123,1756318283654446240
7108433,1756318283684195162,1756318283687842902
7012632,1756318283717612792,1756318283721162196
7114528,1756318283751021754,1756318283754671201
6950677,1756318283784413523,1756318283787890235
6944458,1756318283817822910,1756318283821305723
7030514,1756318283851237809,1756318283854806747
7025118,1756318283884652432,1756318283888214709
6942484,1756318283918066654,1756318283921548228
7037006,1756318283951481850,1756318283955052042
7112999,1756318283984899578,1756318283988554906
7136540,1756318284018313486,1756318284021985022
7128547,1756318284051728986,1756318284055395675
7137571,1756318284085143574,1756318284088814784
6934894,1756318284118558710,1756318284122032164
7093361,1756318284151974171,1756318284155608006
7099448,1756318284185389286,1756318284189025782
7018974,1756318284218804277,1756318284222361418
6959123,1756318284252219698,1756318284255720011
6929771,1756318284285615550,1756318284289089563
6931741,1756318284319028912,1756318284322502411
7030374,1756318284352442559,1756318284356012310
7036183,1756318284385858589,1756318284389430185
6939467,1756318284419272934,1756318284422754437
7099386,1756318284452686102,1756318284456321541
7025297,1756318284486101344,1756318284489665824
7049993,1756318284519518021,1756318284523104948
6946506,1756318284552933442,1756318284556420249
7105745,1756318284586348334,1756318284589993342
6927495,1756318284619764105,1756318284623234297
7026191,1756318284653178816,1756318284656745969
7024147,1756318284686593394,1756318284690153872
6948676,1756318284720008125,1756318284723486069
7012663,1756318284753423325,1756318284756978534
6955819,1756318284786821360,1756318284790320596
6937265,1756318284820233191,1756318284823711960
7024118,1756318284853648940,1756318284857213698
7099457,1756318284887064008,1756318284890705629
6936095,1756318284920461289,1756318284923935573
6949967,1756318284953886619,1756318284957376353
7102183,1756318284987300434,1756318284990940313
7012642,1756318285020715272,1756318285024267126
6939559,1756318285054130660,1756318285057611050
7097035,1756318285087545532,1756318285091184937
6930690,1756318285120957784,1756318285124428704
7054712,1756318285154373339,1756318285157935808
6999956,1756318285187767391,1756318285191312288
6941179,1756318285221174842,1756318285224656772
7022638,1756318285254586744,1756318285258148046
7035922,1756318285287999570,1756318285291567902
7012176,1756318285321411785,1756318285324966236
7046830,1756318285354823296,1756318285358404746
