Timers,TxTime,RxTime
769586,1756318342914573057,1756318342914959911
766612,1756318342947971321,1756318342948354025
765777,1756318342981373055,1756318342981755497
766803,1756318343014781267,1756318343015165042
775416,1756318343048183885,1756318343048568194
765449,1756318343081595085,1756318343081979060
767190,1756318343114993855,1756318343115378322
764113,1756318343148390440,1756318343148773790
769331,1756318343181804024,1756318343182190907
770816,1756318343215205584,1756318343215587984
766129,1756318343248616876,1756318343249001953
767084,1756318343282019783,1756318343282404210
767722,1756318343315425063,1756318343315811005
764494,1756318343348839027,1756318343349222955
764678,1756318343382241743,1756318343382624381
768247,1756318343415656472,1756318343416043848
766085,1756318343449062506,1756318343449446455
763604,1756318343482465125,1756318343482847604
763897,1756318343515867052,1756318343516248569
768288,1756318343549269314,1756318343549652058
765154,1756318343582675243,1756318343583059150
766951,1756318343616076343,1756318343616461948
766135,1756318343649473214,1756318343649855844
765457,1756318343682863737,1756318343683247152
768064,1756318343716259253,1756318343716643835
770578,1756318343749673783,1756318343750060638
762517,1756318343783073801,1756318343783456685
764252,1756318343816475300,1756318343816858431
767182,1756318343849897024,1756318343850282364
766242,1756318343883299409,1756318343883684158
767286,1756318343916713086,1756318343917097185
769672,1756318343950115497,1756318343950499657
769579,1756318343983517955,1756318343983903621
767184,1756318344016934053,1756318344017318727
768664,1756318344050337448,1756318344050722943
766556,1756318344083750590,1756318344084136017
765568,1756318344117152685,1756318344117536378
764696,1756318344150549613,1756318344150932900
764390,1756318344183965071,1756318344184349111
768214,1756318344217364654,1756318344217749571
765753,1756318344250775609,1756318344251160430
765082,1756318344284178658,1756318344284563022
765224,1756318344317574825,1756318344317957971
766484,1756318344350984584,1756318344351368800
768842,1756318344384385953,1756318344384771988
764602,1756318344417781936,1756318344418163195
765403,1756318344451177313,1756318344451557776
766545,1756318344484573890,1756318344484955346
767116,1756318344517968828,1756318344518351291
765023,1756318344551370004,1756318344551753941
764201,1756318344584780630,1756318344585163476
769544,1756318344618175456,1756318344618559612
766483,1756318344651569281,1756318344651954401
765419,1756318344684981912,1756318344685365348
765553,1756318344718396016,1756318344718780845
765034,1756318344751811142,1756318344752194828
768189,1756318344785218615,1756318344785603094
767052,1756318344818633916,1756318344819019011
764705,1756318344852037899,1756318344852421403
764268,1756318344885441290,1756318344885825487
764018,1756318344918850767,1756318344919234111
768685,1756318344952244158,1756318344952629795
760124,1756318344985637165,1756318344986018501
765018,1756318345019040235,1756318345019423178
764071,1756318345052455070,1756318345052836793
762258,1756318345085861861,1756318345086245108
765686,1756318345119259460,1756318345119641653
766251,1756318345152653691,1756318345153038187
766857,1756318345186057125,1756318345186442448
