Timers,TxTime,RxTime
1733680,1756318249456742954,1756318249457615233
1830589,1756318249490138274,1756318249491111938
1813899,1756318249523547196,1756318249524506679
1814321,1756318249556960560,1756318249557916514
1746058,1756318249590367447,1756318249591257965
1819471,1756318249623766302,1756318249624729594
1819807,1756318249657176970,1756318249658138089
1834705,1756318249690583508,1756318249691557392
1741020,1756318249723996400,1756318249724882998
1830711,1756318249757407715,1756318249758383059
1738000,1756318249790819691,1756318249791698497
1824155,1756318249824232102,1756318249825198871
1733854,1756318249857639569,1756318249858514890
1811860,1756318249891030373,1756318249891983557
1822414,1756318249924441669,1756318249925400692
1756033,1756318249957850637,1756318249958750987
1819270,1756318249991253329,1756318249992216510
1724217,1756318250024647674,1756318250025516941
1828345,1756318250058051966,1756318250059022233
1761283,1756318250091460570,1756318250092359029
1737236,1756318250124860475,1756318250125745221
1828099,1756318250158272375,1756318250159244495
1738426,1756318250191684660,1756318250192563186
1818778,1756318250225095815,1756318250226059252
1828547,1756318250258506689,1756318250259477693
1740479,1756318250291901031,1756318250292777959
1742197,1756318250325299660,1756318250326187159
1817049,1756318250358689969,1756318250359649103
1828722,1756318250392086897,1756318250393054423
1768479,1756318250425501521,1756318250426399191
1760438,1756318250458917215,1756318250459813236
1762495,1756318250492324890,1756318250493228829
1744738,1756318250525734633,1756318250526619003
1765461,1756318250559151751,1756318250560051190
1781119,1756318250592570676,1756318250593474539
1745612,1756318250625989545,1756318250626864518
1768028,1756318250659413660,1756318250660322012
1797489,1756318250692830330,1756318250693768422
1904104,1756318250726242666,1756318250727288900
1893109,1756318250759659025,1756318250760697033
1740844,1756318250793060856,1756318250793941870
1745253,1756318250826455039,1756318250827346965
1807214,1756318250859882160,1756318250860836578
1721109,1756318250893287843,1756318250894153856
1714820,1756318250926682276,1756318250927543376
1729699,1756318250960091911,1756318250960966266
1720271,1756318250993486266,1756318250994348565
1806986,1756318251026875450,1756318251027736253
1831461,1756318251060284002,1756318251061253290
1816776,1756318251093722725,1756318251094680107
1819125,1756318251127119698,1756318251128076098
1813489,1756318251160530239,1756318251161483426
1738001,1756318251193941851,1756318251194819383
1738634,1756318251227340723,1756318251228223384
1835553,1756318251260750059,1756318251261721632
1807943,1756318251294163741,1756318251295115273
1827526,1756318251327558869,1756318251328524604
1734556,1756318251360958498,1756318251361834031
1907824,1756318251394351405,1756318251395401823
1821458,1756318251427762676,1756318251428725373
1814880,1756318251461174101,1756318251462133268
1742750,1756318251494585188,1756318251495466961
1729152,1756318251527974148,1756318251528844151
1807167,1756318251561384956,1756318251562334179
1807500,1756318251594795861,1756318251595742224
1804716,1756318251628191621,1756318251629139553
1823560,1756318251661603500,1756318251662569848
1807042,1756318251695011569,1756318251695965131
1747415,1756318251728423410,1756318251729309821
1822213,1756318251761832196,1756318251762793521
1815171,1756318251795224211,1756318251796183388
1749927,1756318251828619052,1756318251829507318
1739490,1756318251862020459,1756318251862894522
1828491,1756318251895432260,1756318251896394661
1740737,1756318251928842768,1756318251929726870
1749082,1756318251962253061,1756318251963144615
1810852,1756318251995664347,1756318251996615362
1752866,1756318252029068545,1756318252029960493
1740470,1756318252062479461,1756318252063359781
1813051,1756318252095885165,1756318252096840496
1825664,1756318252129280762,1756318252130244689
1806916,1756318252162692509,1756318252163642156
1819431,1756318252196100913,1756318252197060364
1806572,1756318252229493799,1756318252230446654
1895769,1756318252262884601,1756318252263918925
1897330,1756318252296296734,1756318252297335784
1901037,1756318252329689199,1756318252330733689
1747582,1756318252363100434,1756318252363992119
1901359,1756318252396514712,1756318252397559553
1975947,1756318252429927215,1756318252431042271
1919712,1756318252463336820,1756318252464396357
1888216,1756318252496750507,1756318252497782574
1727936,1756318252530162612,1756318252531035573
1833864,1756318252563572137,1756318252564543322
1857380,1756318252596984882,1756318252597983601
1822442,1756318252630377378,1756318252631341091
1836352,1756318252663790199,1756318252664767499
1823571,1756318252697205930,1756318252698174014
1890034,1756318252730615648,1756318252731646190
1895644,1756318252764029047,1756318252765064686
1889162,1756318252797441296,1756318252798472503
1825594,1756318252830861807,1756318252831826139
1802116,1756318252864256201,1756318252865203331
1741517,1756318252897667422,1756318252898553673
1815867,1756318252931059635,1756318252931929495
1836502,1756318252964469118,1756318252965447606
1737462,1756318252997868897,1756318252998745854
1741125,1756318253031267411,1756318253032155352
1804872,1756318253064668647,1756318253065621400
1804459,1756318253098064270,1756318253099017338
1804628,1756318253131459390,1756318253132416589
1804730,1756318253164848058,1756318253165802154
1801169,1756318253198239150,1756318253199187442
1730536,1756318253231628499,1756318253232504750
1737757,1756318253265040032,1756318253265923041
1806866,1756318253298451390,1756318253299401538
1808171,1756318253331872706,1756318253332829472
1808188,1756318253365284760,1756318253366237091
1811225,1756318253398698168,1756318253399656755
1806261,1756318253432108013,1756318253433063391
1814933,1756318253465518911,1756318253466482458
1816237,1756318253498928925,1756318253499891059
1742310,1756318253532340917,1756318253533226788
1805031,1756318253565752858,1756318253566704837
1814429,1756318253599158505,1756318253600123456
1802569,1756318253632550161,1756318253633499179
1806771,1756318253665961609,1756318253666917993
1808257,1756318253699366836,1756318253700324934
1836054,1756318253732778709,1756318253733756729
1724380,1756318253766190214,1756318253767061836
1811255,1756318253799601634,1756318253800560448
1816710,1756318253833013341,1756318253833979986
1731679,1756318253866421182,1756318253867297167
1814354,1756318253899813232,1756318253900773829
1806633,1756318253933214184,1756318253934169112
1818039,1756318253966624181,1756318253967587523
1828452,1756318254000035839,1756318254001006972
1808967,1756318254033447350,1756318254034405449
1809655,1756318254066844905,1756318254067800947
1808270,1756318254100255466,1756318254101207553
1722990,1756318254133650606,1756318254134523104
1752569,1756318254167060347,1756318254167959556
1816278,1756318254200469618,1756318254201433093
1814010,1756318254233881193,1756318254234839451
1814279,1756318254267278715,1756318254268237427
1808142,1756318254300688271,1756318254301644096
1818140,1756318254334099058,1756318254335063488
1802639,1756318254367487546,1756318254368439810
1844381,1756318254400896340,1756318254401887980
1814834,1756318254434307184,1756318254435265826
1921403,1756318254467716137,1756318254468779756
1817711,1756318254501127373,1756318254502092337
1810495,1756318254534540319,1756318254535501381
1728514,1756318254567960670,1756318254568835513
1805242,1756318254601373065,1756318254602326587
1808175,1756318254634765413,1756318254635723012
1806897,1756318254668178956,1756318254669132099
1818592,1756318254701586162,1756318254702550696
1749272,1756318254734996565,1756318254735889849
1815341,1756318254768401331,1756318254769367000
1816200,1756318254801809984,1756318254802773898
1819741,1756318254835218499,1756318254836182699
1800589,1756318254868627024,1756318254869576136
1805679,1756318254902025984,1756318254902976377
1811628,1756318254935434533,1756318254936392518
