Timers,TxTime,RxTime
6714579,1756318435891454051,1756318435894815874
6700981,1756318435924851920,1756318435928204518
6705539,1756318435958256165,1756318435961604752
6708918,1756318435991651830,1756318435995008846
6705609,1756318436025054723,1756318436028411554
6704138,1756318436058470019,1756318436061819657
6704030,1756318436091866436,1756318436095221296
6706720,1756318436125269251,1756318436128619488
6712260,1756318436158675985,1756318436162030979
6707565,1756318436192090673,1756318436195444414
6712454,1756318436225505589,1756318436228864071
6708922,1756318436258908487,1756318436262265349
6703036,1756318436292312060,1756318436295667362
6713712,1756318436325717160,1756318436329079273
6699922,1756318436359113279,1756318436362464772
6709515,1756318436392523347,1756318436395874667
6708052,1756318436425938227,1756318436429292685
6700077,1756318436459336827,1756318436462690702
6699928,1756318436492732634,1756318436496079319
6690394,1756318436526125840,1756318436529471924
6695534,1756318436559522117,1756318436562872708
6695890,1756318436592932948,1756318436596287662
6698973,1756318436626335795,1756318436629682390
6702355,1756318436659731686,1756318436663080672
6712141,1756318436693134462,1756318436696494189
6704545,1756318436726546112,1756318436729901697
6703067,1756318436759939270,1756318436763289983
6700647,1756318436793341576,1756318436796694642
6699773,1756318436826755399,1756318436830106599
6705723,1756318436860158777,1756318436863512808
6704064,1756318436893551594,1756318436896905169
6701420,1756318436926967642,1756318436930323832
6707877,1756318436960382628,1756318436963737850
6705785,1756318436993794131,1756318436997151165
6705389,1756318437027204228,1756318437030555115
6704402,1756318437060600389,1756318437063953518
6706199,1756318437094003895,1756318437097363415
6714382,1756318437127417444,1756318437130778608
6697197,1756318437160831956,1756318437164178558
6701894,1756318437194231105,1756318437197581694
6702414,1756318437227644916,1756318437230995982
6696491,1756318437261050607,1756318437264399829
6701099,1756318437294465502,1756318437297820005
6704205,1756318437327870415,1756318437331219870
6708186,1756318437361273829,1756318437364625514
6709519,1756318437394678341,1756318437398037798
6702839,1756318437428072301,1756318437431427770
6695430,1756318437461469109,1756318437464816792
6704441,1756318437494879975,1756318437498229668
6704497,1756318437528280355,1756318437531631872
6704230,1756318437561676738,1756318437565027178
6693984,1756318437595081579,1756318437598427411
6700286,1756318437628492810,1756318437631843779
6708501,1756318437661916444,1756318437665271437
6709237,1756318437695319967,1756318437698673298
6710279,1756318437728733238,1756318437732094603
6702114,1756318437762128742,1756318437765478313
6708762,1756318437795529240,1756318437798881023
6709948,1756318437828925818,1756318437832283203
6701965,1756318437862318616,1756318437865671443
6702157,1756318437895710035,1756318437899060472
6692782,1756318437929101875,1756318437932448321
6703545,1756318437962497454,1756318437965851677
6705388,1756318437995917467,1756318437999274103
6709546,1756318438029320548,1756318438032673507
6702046,1756318438062737253,1756318438066087621
6705364,1756318438096139497,1756318438099491292
6697431,1756318438129555641,1756318438132907577
6714034,1756318438162973291,1756318438166331574
6704124,1756318438196389624,1756318438199741049
6707428,1756318438229803757,1756318438233159176
6699403,1756318438263207772,1756318438266556081
6706746,1756318438296622604,1756318438299981400
6704624,1756318438329971991,1756318438333326086
6710387,1756318438363366400,1756318438366722680
6704831,1756318438396782757,1756318438400134257
6707932,1756318438430181203,1756318438433536457
6698028,1756318438463595816,1756318438466945317
6706759,1756318438496996520,1756318438500349720
6701948,1756318438530411100,1756318438533760582
6699313,1756318438563828035,1756318438567178885
6694005,1756318438597232179,1756318438600583185
6710010,1756318438630646949,1756318438634005494
6705087,1756318438664047536,1756318438667397202
6690533,1756318438697462502,1756318438700809684
6704884,1756318438730878438,1756318438734236436
6701042,1756318438764281981,1756318438767628464
6704503,1756318438797697174,1756318438801052838
6698529,1756318438831100388,1756318438834452945
6695942,1756318438864514086,1756318438867862334
6703633,1756318438897928372,1756318438901282217
6709915,1756318438931331261,1756318438934689810
6707875,1756318438964747074,1756318438968095798
6710701,1756318438998149931,1756318439001509118
6703017,1756318439031564249,1756318439034920730
6699825,1756318439064959236,1756318439068305294
6697264,1756318439098374854,1756318439101720171
6703026,1756318439131790283,1756318439135139900
6709483,1756318439165193720,1756318439168547515
6698100,1756318439198607996,1756318439201954278
6704927,1756318439232013360,1756318439235367561
6709878,1756318439265409037,1756318439268768362
6706816,1756318439298824748,1756318439302178770
6693830,1756318439332225068,1756318439335577683
6702465,1756318439365640088,1756318439368992340
6706650,1756318439399043242,1756318439402397471
6702865,1756318439432455811,1756318439435814435
6701662,1756318439465846611,1756318439469201676
6704789,1756318439499249482,1756318439502599153
6706288,1756318439532648895,1756318439535999567
6707948,1756318439566063310,1756318439569416687
6693821,1756318439599478843,1756318439602828206
6690581,1756318439632894074,1756318439636240014
6691413,1756318439666297603,1756318439669643156
6704656,1756318439699713371,1756318439703069469
6703810,1756318439733116609,1756318439736472121
6696894,1756318439766531463,1756318439769878985
6716723,1756318439799946419,1756318439803308673
6702964,1756318439833351002,1756318439836705393
6687263,1756318439866743779,1756318439870088962
6698077,1756318439900147000,1756318439903499968
