tx_throughput,rx_throughput
992750000.000000,1215850000.000000
450000.000000,1215800000.000000
965450000.000000,1154350000.000000
1131500000.000000,400000.000000
1131550000.000000,536900000.000000
450000.000000,1215800000.000000
450000.000000,1214950000.000000
1131500000.000000,350000.000000
1131500000.000000,46300000.000000
298750000.000000,1215850000.000000
400000.000000,1215800000.000000
1131500000.000000,703050000.000000
1131500000.000000,350000.000000
1131500000.000000,1175500000.000000
400000.000000,1215800000.000000
452100000.000000,1182850000.000000
1131550000.000000,1106100000.000000
1131500000.000000,350000.000000
1131450000.000000,1023150000.000000
500000.000000,1215850000.000000
160900000.000000,1202450000.000000
1131500000.000000,450000.000000
1131500000.000000,51600000.000000
209450000.000000,1215850000.000000
450000.000000,1215850000.000000
1131550000.000000,992150000.000000
1131550000.000000,400000.000000
1131500000.000000,959700000.000000
500000.000000,1215850000.000000
35700000.000000,1209850000.000000
1131550000.000000,350000.000000
1131500000.000000,40250000.000000
400450000.000000,1215850000.000000
450000.000000,1215850000.000000
1131550000.000000,952000000.000000
1131550000.000000,350000.000000
1131500000.000000,922400000.000000
500000.000000,1215850000.000000
105300000.000000,1205750000.000000
1131500000.000000,400000.000000
1131550000.000000,48200000.000000
268050000.000000,1215850000.000000
400000.000000,1215850000.000000
1131550000.000000,813350000.000000
1131500000.000000,350000.000000
1131550000.000000,1026750000.000000
500000.000000,1215850000.000000
188500000.000000,1200850000.000000
1131550000.000000,400000.000000
1131550000.000000,52550000.000000
192400000.000000,1215850000.000000
400000.000000,1219950000.000000
1135550000.000000,510150000.000000
1132350000.000000,1050000.000000
1132400000.000000,1216650000.000000
1250000.000000,1216650000.000000
420300000.000000,1187750000.000000
1132400000.000000,1050000.000000
1132500000.000000,68700000.000000
1250000.000000,1216500000.000000
1200000.000000,1216600000.000000
1132300000.000000,374850000.000000
1134750000.000000,2550000.000000
1031950000.000000,1215850000.000000
400000.000000,1215850000.000000
944650000.000000,1155650000.000000
1131500000.000000,350000.000000
1131550000.000000,350000.000000
1131550000.000000,52450000.000000
197100000.000000,1215850000.000000
500000.000000,1215800000.000000
1131550000.000000,383000000.000000
1131550000.000000,350000.000000
1131500000.000000,1215850000.000000
400000.000000,1215850000.000000
735650000.000000,1168150000.000000
1131550000.000000,350000.000000
1131550000.000000,150900000.000000
500000.000000,1215850000.000000
450000.000000,1215850000.000000
1131550000.000000,222000000.000000
1131550000.000000,6000000.000000
971250000.000000,1215850000.000000
400000.000000,1215850000.000000
872050000.000000,1159950000.000000
1131550000.000000,350000.000000
1131550000.000000,271750000.000000
500000.000000,1215850000.000000
450000.000000,1215850000.000000
1131550000.000000,113200000.000000
1131500000.000000,9150000.000000
921900000.000000,1215850000.000000
450000.000000,1215850000.000000
680550000.000000,1171400000.000000
1131550000.000000,450000.000000
1131550000.000000,303150000.000000
500000.000000,1215850000.000000
400000.000000,1215850000.000000
1131500000.000000,350000.000000
1131500000.000000,34100000.000000
501350000.000000,1215850000.000000
400000.000000,1215850000.000000
1131500000.000000,880550000.000000
1131500000.000000,350000.000000
1131500000.000000,1047850000.000000
450000.000000,1215850000.000000
364800000.000000,1190250000.000000
1131500000.000000,350000.000000
1131500000.000000,131000000.000000
450000.000000,1215850000.000000
400000.000000,1215850000.000000
1131550000.000000,364000000.000000
1131450000.000000,4150000.000000
1002300000.000000,1215900000.000000
400000.000000,1215800000.000000
779200000.000000,1165450000.000000
1131500000.000000,400000.000000
1131550000.000000,493100000.000000
500000.000000,1215850000.000000
500000.000000,1215850000.000000
1131500000.000000,400000.000000
1131500000.000000,27200000.000000
617650000.000000,1215850000.000000
400000.000000,1215850000.000000
1131500000.000000,990100000.000000
1131500000.000000,350000.000000
1131500000.000000,981050000.000000
500000.000000,1215850000.000000
131400000.000000,1204100000.000000
1131550000.000000,350000.000000
1131550000.000000,66400000.000000
500000.000000,1215850000.000000
450000.000000,1215900000.000000
1131550000.000000,344200000.000000
1131500000.000000,1500000.000000
1048200000.000000,1215850000.000000
450000.000000,1215850000.000000
704400000.000000,1170000000.000000
1131450000.000000,350000.000000
1131550000.000000,265600000.000000
500000.000000,1215850000.000000
450000.000000,1215850000.000000
1131500000.000000,350000.000000
1131550000.000000,25000000.000000
652900000.000000,1215850000.000000
450000.000000,1215850000.000000
1098650000.000000,1148350000.000000
1131550000.000000,350000.000000
1131500000.000000,738350000.000000
450000.000000,1215850000.000000
450000.000000,1215850000.000000
1131500000.000000,350000.000000
1131500000.000000,30350000.000000
566750000.000000,1215850000.000000
400000.000000,1215900000.000000
1131550000.000000,1112650000.000000
1131450000.000000,400000.000000
1131550000.000000,791150000.000000
500000.000000,1215850000.000000
450000.000000,1215800000.000000
1131500000.000000,350000.000000
1131500000.000000,37500000.000000
445350000.000000,1215800000.000000
