tx_throughput,rx_throughput
1061450000.000000,103950000.000000
500000.000000,1079150000.000000
422350000.000000,1188700000.000000
1131550000.000000,790700000.000000
1131500000.000000,46300000.000000
332850000.000000,674600000.000000
20350000.000000,1212550000.000000
1128450000.000000,1148300000.000000
1131550000.000000,234350000.000000
796850000.000000,289550000.000000
550000.000000,40000000.000000
438400000.000000,614650000.000000
500000.000000,1215850000.000000
1050450000.000000,1151200000.000000
1131550000.000000,240550000.000000
819750000.000000,240300000.000000
500000.000000,1215850000.000000
588250000.000000,1178950000.000000
1131600000.000000,657550000.000000
1131550000.000000,58000000.000000
136850000.000000,894550000.000000
253300000.000000,1198800000.000000
1131550000.000000,943450000.000000
1131550000.000000,37300000.000000
482650000.000000,564850000.000000
500000.000000,1215900000.000000
994450000.000000,1154650000.000000
1131550000.000000,316150000.000000
875500000.000000,203000000.000000
500000.000000,1215850000.000000
618350000.000000,1177200000.000000
1131550000.000000,631500000.000000
1131500000.000000,58350000.000000
111850000.000000,859500000.000000
191200000.000000,1202700000.000000
1131500000.000000,990900000.000000
1131600000.000000,72100000.000000
584150000.000000,51450000.000000
244200000.000000,769400000.000000
80700000.000000,1209200000.000000
1131550000.000000,1134900000.000000
1131550000.000000,206400000.000000
739850000.000000,334250000.000000
500000.000000,1215900000.000000
765850000.000000,1168200000.000000
1131600000.000000,490250000.000000
1090550000.000000,67150000.000000
500000.000000,984950000.000000
306800000.000000,1195650000.000000
1131550000.000000,877450000.000000
1131500000.000000,41800000.000000
408250000.000000,605900000.000000
500000.000000,1215850000.000000
1077800000.000000,1149600000.000000
1131600000.000000,245700000.000000
824750000.000000,284850000.000000
500000.000000,1215900000.000000
673650000.000000,1173750000.000000
1131600000.000000,577550000.000000
1131550000.000000,62500000.000000
61450000.000000,923300000.000000
236400000.000000,1199950000.000000
1131550000.000000,966000000.000000
1139400000.000000,41350000.000000
378550000.000000,665750000.000000
45950000.000000,1207700000.000000
1132000000.000000,935150000.000000
1132450000.000000,39550000.000000
459500000.000000,585500000.000000
1550000.000000,1216700000.000000
1011150000.000000,1154600000.000000
1132550000.000000,309250000.000000
847400000.000000,252300000.000000
1500000.000000,1218250000.000000
617150000.000000,1177200000.000000
1131550000.000000,598000000.000000
1131500000.000000,59750000.000000
105400000.000000,909550000.000000
241450000.000000,1199650000.000000
1131500000.000000,935300000.000000
1131550000.000000,37400000.000000
478550000.000000,586550000.000000
500000.000000,1215850000.000000
1005250000.000000,1153950000.000000
1131550000.000000,293150000.000000
854850000.000000,261400000.000000
550000.000000,1215900000.000000
623400000.000000,1176850000.000000
1131550000.000000,614450000.000000
1131550000.000000,313450000.000000
878400000.000000,224050000.000000
450000.000000,1215850000.000000
593200000.000000,1178700000.000000
1131550000.000000,682600000.000000
1131600000.000000,57100000.000000
151950000.000000,860650000.000000
195000000.000000,1202400000.000000
1131550000.000000,972650000.000000
1131600000.000000,34900000.000000
521150000.000000,492250000.000000
550000.000000,1215900000.000000
924800000.000000,1158900000.000000
1131550000.000000,376250000.000000
981100000.000000,91100000.000000
550000.000000,1069250000.000000
447550000.000000,1187500000.000000
1131550000.000000,779400000.000000
1131600000.000000,44550000.000000
363000000.000000,658300000.000000
550000.000000,1215850000.000000
1080650000.000000,1149600000.000000
1131600000.000000,223900000.000000
803250000.000000,245300000.000000
500000.000000,1215900000.000000
583150000.000000,1179300000.000000
1131600000.000000,639850000.000000
1131550000.000000,61600000.000000
76600000.000000,910700000.000000
251500000.000000,1198950000.000000
1131600000.000000,968850000.000000
1131550000.000000,36750000.000000
491750000.000000,539900000.000000
550000.000000,1215900000.000000
985200000.000000,1155300000.000000
1131550000.000000,332300000.000000
895700000.000000,196900000.000000
500000.000000,1171000000.000000
558050000.000000,1180750000.000000
1131600000.000000,663750000.000000
1131550000.000000,56200000.000000
167050000.000000,870950000.000000
176100000.000000,1203550000.000000
1131550000.000000,1018000000.000000
1131550000.000000,35200000.000000
518750000.000000,504850000.000000
500000.000000,1215850000.000000
942300000.000000,1157650000.000000
1131500000.000000,352550000.000000
941700000.000000,22300000.000000
733850000.000000,315400000.000000
450000.000000,1215850000.000000
679000000.000000,1173300000.000000
1131500000.000000,593700000.000000
1131500000.000000,61250000.000000
79700000.000000,912150000.000000
261500000.000000,1198200000.000000
1131550000.000000,922500000.000000
1131550000.000000,37950000.000000
473500000.000000,576800000.000000
500000.000000,1215900000.000000
993200000.000000,1154650000.000000
1131550000.000000,306650000.000000
865450000.000000,237100000.000000
500000.000000,1215850000.000000
623350000.000000,572900000.000000
550000.000000,1215900000.000000
985600000.000000,1154950000.000000
1131550000.000000,313650000.000000
875550000.000000,219150000.000000
500000.000000,1209550000.000000
588150000.000000,1178900000.000000
1131550000.000000,644600000.000000
