tx_throughput,rx_throughput
450000.000000,137550000.000000
450000.000000,137500000.000000
128100000.000000,350000.000000
128050000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137600000.000000
128050000.000000,350000.000000
128100000.000000,137500000.000000
450000.000000,137550000.000000
450000.000000,137500000.000000
128100000.000000,350000.000000
128150000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,137600000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128150000.000000,350000.000000
128050000.000000,137500000.000000
450000.000000,137500000.000000
400000.000000,137500000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137500000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,400000.000000
128050000.000000,137500000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
128050000.000000,300000.000000
128100000.000000,137550000.000000
450000.000000,141000000.000000
4950000.000000,138300000.000000
129000000.000000,1150000.000000
128850000.000000,1150000.000000
128900000.000000,138250000.000000
1250000.000000,138250000.000000
128900000.000000,36650000.000000
128950000.000000,1150000.000000
128950000.000000,138250000.000000
1300000.000000,138250000.000000
1250000.000000,138250000.000000
130900000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
500000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
128050000.000000,18600000.000000
128100000.000000,350000.000000
128100000.000000,137500000.000000
450000.000000,137500000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137550000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,300000.000000
128100000.000000,400000.000000
128050000.000000,137550000.000000
450000.000000,137600000.000000
400000.000000,137550000.000000
128050000.000000,400000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
69300000.000000,128250000.000000
128150000.000000,350000.000000
128100000.000000,137550000.000000
500000.000000,137550000.000000
450000.000000,137550000.000000
128150000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137500000.000000
450000.000000,137550000.000000
128100000.000000,26550000.000000
128150000.000000,400000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128100000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,27500000.000000
128050000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
128150000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,137500000.000000
350000.000000,137550000.000000
400000.000000,137500000.000000
128100000.000000,400000.000000
128150000.000000,103600000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128150000.000000,400000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128150000.000000,350000.000000
128050000.000000,350000.000000
128100000.000000,137500000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128050000.000000,2900000.000000
21100000.000000,137550000.000000
2050000.000000,142950000.000000
128950000.000000,1100000.000000
129050000.000000,1100000.000000
129400000.000000,138250000.000000
1300000.000000,138300000.000000
