tx_throughput,rx_throughput
500000.000000,137550000.000000
450000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128100000.000000,4150000.000000
1300000.000000,137550000.000000
400000.000000,137500000.000000
128100000.000000,400000.000000
128050000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,3300000.000000
15050000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137500000.000000
128100000.000000,400000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
131400000.000000,4650000.000000
128900000.000000,1100000.000000
129000000.000000,1050000.000000
129350000.000000,138250000.000000
1300000.000000,138350000.000000
129000000.000000,1150000.000000
128950000.000000,1100000.000000
129000000.000000,138300000.000000
1200000.000000,138350000.000000
1300000.000000,138350000.000000
129000000.000000,2700000.000000
128150000.000000,350000.000000
128050000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128150000.000000,350000.000000
128150000.000000,137550000.000000
450000.000000,137550000.000000
400000.000000,137600000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137500000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128050000.000000,137500000.000000
450000.000000,137550000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128150000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137500000.000000
61500000.000000,130050000.000000
128050000.000000,350000.000000
128100000.000000,137500000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,300000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
450000.000000,137600000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137500000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,400000.000000
128050000.000000,137600000.000000
400000.000000,137550000.000000
47350000.000000,130950000.000000
128100000.000000,400000.000000
128100000.000000,137500000.000000
450000.000000,137500000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128050000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137500000.000000
128100000.000000,350000.000000
128050000.000000,350000.000000
128150000.000000,137500000.000000
400000.000000,137500000.000000
400000.000000,137500000.000000
128100000.000000,350000.000000
128050000.000000,6650000.000000
450000.000000,137550000.000000
400000.000000,137500000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,300000.000000
128050000.000000,137500000.000000
400000.000000,137500000.000000
500000.000000,137500000.000000
128050000.000000,350000.000000
128150000.000000,350000.000000
128100000.000000,137500000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137550000.000000
450000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,137500000.000000
350000.000000,137550000.000000
32300000.000000,131750000.000000
128050000.000000,300000.000000
128100000.000000,137500000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128100000.000000,300000.000000
128150000.000000,137550000.000000
400000.000000,137500000.000000
128100000.000000,350000.000000
128150000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137550000.000000
5050000.000000,140500000.000000
129000000.000000,1150000.000000
129000000.000000,76800000.000000
1700000.000000,138350000.000000
1350000.000000,138250000.000000
128950000.000000,1100000.000000
129000000.000000,1100000.000000
128900000.000000,138250000.000000
1250000.000000,138250000.000000
4050000.000000,134400000.000000
129000000.000000,2700000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,300000.000000
128050000.000000,350000.000000
