tx_throughput,rx_throughput
450000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,300000.000000
128100000.000000,137550000.000000
400000.000000,137500000.000000
1600000.000000,133750000.000000
128050000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,137500000.000000
450000.000000,137500000.000000
450000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
128200000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137500000.000000
47400000.000000,130900000.000000
128050000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137550000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,400000.000000
128050000.000000,137500000.000000
400000.000000,137500000.000000
450000.000000,137500000.000000
450000.000000,137550000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137500000.000000
400000.000000,137550000.000000
450000.000000,137550000.000000
128150000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,400000.000000
132750000.000000,140500000.000000
1350000.000000,138300000.000000
1250000.000000,138350000.000000
129350000.000000,1100000.000000
129000000.000000,138200000.000000
1200000.000000,138250000.000000
1250000.000000,138350000.000000
129000000.000000,1100000.000000
128900000.000000,1100000.000000
129050000.000000,138350000.000000
1350000.000000,139950000.000000
400000.000000,135150000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
128150000.000000,350000.000000
128150000.000000,350000.000000
128150000.000000,137550000.000000
450000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128150000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137550000.000000
450000.000000,137500000.000000
450000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,2500000.000000
29250000.000000,137500000.000000
350000.000000,137550000.000000
128050000.000000,300000.000000
128100000.000000,350000.000000
128100000.000000,137500000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
450000.000000,137550000.000000
400000.000000,137500000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128100000.000000,137500000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128050000.000000,400000.000000
128050000.000000,137500000.000000
450000.000000,137550000.000000
450000.000000,137500000.000000
128100000.000000,400000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128200000.000000,137550000.000000
450000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128100000.000000,400000.000000
128150000.000000,400000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
54100000.000000,130500000.000000
128100000.000000,350000.000000
128050000.000000,137500000.000000
400000.000000,137500000.000000
450000.000000,137500000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128100000.000000,137500000.000000
450000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,400000.000000
128050000.000000,137500000.000000
400000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,76300000.000000
450000.000000,137550000.000000
400000.000000,137550000.000000
128050000.000000,350000.000000
128150000.000000,350000.000000
128150000.000000,137550000.000000
400000.000000,137550000.000000
450000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137500000.000000
