tx_throughput,rx_throughput
59700000.000000,137550000.000000
500000.000000,137550000.000000
128100000.000000,400000.000000
128150000.000000,400000.000000
128150000.000000,137550000.000000
500000.000000,137550000.000000
30450000.000000,133750000.000000
128150000.000000,400000.000000
128150000.000000,137550000.000000
400000.000000,137500000.000000
450000.000000,137550000.000000
128150000.000000,400000.000000
128100000.000000,350000.000000
128150000.000000,137500000.000000
550000.000000,137550000.000000
128150000.000000,350000.000000
128100000.000000,350000.000000
128200000.000000,137600000.000000
450000.000000,137550000.000000
400000.000000,137600000.000000
128150000.000000,400000.000000
128100000.000000,26800000.000000
500000.000000,137550000.000000
500000.000000,137550000.000000
128100000.000000,400000.000000
128150000.000000,350000.000000
128150000.000000,137600000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128050000.000000,350000.000000
128150000.000000,137600000.000000
400000.000000,137550000.000000
400000.000000,137600000.000000
128100000.000000,350000.000000
128050000.000000,400000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
128150000.000000,30450000.000000
128100000.000000,450000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128150000.000000,400000.000000
128100000.000000,94350000.000000
500000.000000,137550000.000000
450000.000000,137600000.000000
128100000.000000,400000.000000
128100000.000000,350000.000000
128050000.000000,137550000.000000
400000.000000,137550000.000000
126800000.000000,110950000.000000
128100000.000000,350000.000000
128150000.000000,137550000.000000
500000.000000,137600000.000000
450000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,350000.000000
128100000.000000,137600000.000000
450000.000000,137600000.000000
128100000.000000,350000.000000
128100000.000000,400000.000000
128150000.000000,137550000.000000
450000.000000,137650000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128150000.000000,121600000.000000
500000.000000,137550000.000000
450000.000000,137500000.000000
129850000.000000,5900000.000000
128650000.000000,1600000.000000
16300000.000000,138400000.000000
1350000.000000,137950000.000000
128650000.000000,800000.000000
129100000.000000,1100000.000000
128950000.000000,138000000.000000
950000.000000,137950000.000000
128650000.000000,750000.000000
128550000.000000,800000.000000
128600000.000000,137950000.000000
3050000.000000,137550000.000000
128100000.000000,21200000.000000
128050000.000000,400000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128050000.000000,350000.000000
128050000.000000,121300000.000000
450000.000000,137550000.000000
450000.000000,137500000.000000
128100000.000000,350000.000000
128100000.000000,400000.000000
128050000.000000,137550000.000000
500000.000000,137550000.000000
128100000.000000,99600000.000000
128150000.000000,400000.000000
128150000.000000,137500000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128150000.000000,350000.000000
128100000.000000,400000.000000
113300000.000000,137550000.000000
400000.000000,137550000.000000
128150000.000000,19200000.000000
128150000.000000,400000.000000
128150000.000000,137550000.000000
450000.000000,137600000.000000
450000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,3100000.000000
49050000.000000,137550000.000000
400000.000000,137550000.000000
128150000.000000,400000.000000
128150000.000000,350000.000000
128100000.000000,137600000.000000
450000.000000,137550000.000000
46650000.000000,132800000.000000
128050000.000000,400000.000000
128150000.000000,137550000.000000
400000.000000,137550000.000000
450000.000000,137600000.000000
128100000.000000,400000.000000
128150000.000000,400000.000000
128050000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,400000.000000
128100000.000000,350000.000000
128050000.000000,137600000.000000
500000.000000,137600000.000000
450000.000000,137550000.000000
128150000.000000,400000.000000
128100000.000000,137550000.000000
450000.000000,137550000.000000
500000.000000,137550000.000000
128050000.000000,400000.000000
128100000.000000,350000.000000
128200000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,30300000.000000
128050000.000000,350000.000000
128100000.000000,137550000.000000
400000.000000,137550000.000000
450000.000000,137550000.000000
128100000.000000,350000.000000
128100000.000000,5950000.000000
3500000.000000,137550000.000000
450000.000000,137500000.000000
128100000.000000,400000.000000
128100000.000000,400000.000000
128100000.000000,137600000.000000
450000.000000,137550000.000000
27300000.000000,133950000.000000
128100000.000000,400000.000000
128150000.000000,137550000.000000
450000.000000,137550000.000000
450000.000000,137550000.000000
128050000.000000,400000.000000
128150000.000000,350000.000000
128100000.000000,137600000.000000
500000.000000,137550000.000000
128050000.000000,68800000.000000
128100000.000000,400000.000000
128100000.000000,137550000.000000
