tx_throughput,rx_throughput
400000.000000,350000.000000
304700000.000000,350000.000000
304700000.000000,350000.000000
304650000.000000,350000.000000
400000.000000,400000.000000
350000.000000,350000.000000
304600000.000000,350000.000000
304700000.000000,400000.000000
304650000.000000,400000.000000
400000.000000,450000.000000
304700000.000000,350000.000000
304600000.000000,350000.000000
304650000.000000,350000.000000
400000.000000,450000.000000
400000.000000,400000.000000
304650000.000000,300000.000000
304650000.000000,300000.000000
304700000.000000,400000.000000
350000.000000,350000.000000
304650000.000000,350000.000000
304650000.000000,300000.000000
304650000.000000,400000.000000
400000.000000,400000.000000
550000.000000,450000.000000
304700000.000000,350000.000000
304700000.000000,350000.000000
304700000.000000,400000.000000
450000.000000,450000.000000
304650000.000000,350000.000000
304650000.000000,350000.000000
304700000.000000,450000.000000
450000.000000,400000.000000
450000.000000,350000.000000
304700000.000000,350000.000000
304650000.000000,350000.000000
304700000.000000,450000.000000
400000.000000,400000.000000
304700000.000000,300000.000000
304700000.000000,350000.000000
304650000.000000,400000.000000
450000.000000,400000.000000
350000.000000,400000.000000
400000.000000,400000.000000
304700000.000000,350000.000000
304650000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304700000.000000,350000.000000
304650000.000000,300000.000000
304650000.000000,350000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304650000.000000,350000.000000
304650000.000000,350000.000000
350000.000000,400000.000000
400000.000000,350000.000000
304650000.000000,350000.000000
304650000.000000,350000.000000
304650000.000000,350000.000000
350000.000000,350000.000000
400000.000000,400000.000000
304650000.000000,350000.000000
304700000.000000,400000.000000
400000.000000,400000.000000
400000.000000,350000.000000
304650000.000000,300000.000000
304650000.000000,350000.000000
304650000.000000,350000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304700000.000000,300000.000000
304700000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304650000.000000,350000.000000
304700000.000000,300000.000000
304650000.000000,400000.000000
450000.000000,400000.000000
265650000.000000,300000.000000
304600000.000000,350000.000000
308500000.000000,3650000.000000
1200000.000000,1150000.000000
1250000.000000,1100000.000000
305900000.000000,1050000.000000
305500000.000000,1050000.000000
305500000.000000,1100000.000000
1150000.000000,1050000.000000
305550000.000000,1050000.000000
305500000.000000,1050000.000000
305450000.000000,1100000.000000
1250000.000000,2700000.000000
400000.000000,400000.000000
304650000.000000,350000.000000
304700000.000000,350000.000000
304650000.000000,350000.000000
350000.000000,350000.000000
304700000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304700000.000000,350000.000000
304650000.000000,450000.000000
400000.000000,350000.000000
400000.000000,400000.000000
304650000.000000,300000.000000
304650000.000000,300000.000000
304700000.000000,400000.000000
400000.000000,400000.000000
304650000.000000,300000.000000
304700000.000000,350000.000000
304700000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304650000.000000,300000.000000
304650000.000000,350000.000000
304650000.000000,400000.000000
400000.000000,400000.000000
304700000.000000,350000.000000
304700000.000000,350000.000000
304700000.000000,450000.000000
400000.000000,400000.000000
400000.000000,450000.000000
304700000.000000,300000.000000
304700000.000000,350000.000000
304700000.000000,400000.000000
304650000.000000,400000.000000
400000.000000,450000.000000
304700000.000000,350000.000000
304700000.000000,350000.000000
304650000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304700000.000000,350000.000000
304650000.000000,350000.000000
304650000.000000,400000.000000
400000.000000,350000.000000
304650000.000000,400000.000000
304650000.000000,350000.000000
304650000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
304700000.000000,350000.000000
304650000.000000,300000.000000
304650000.000000,400000.000000
450000.000000,350000.000000
304600000.000000,350000.000000
304650000.000000,350000.000000
304650000.000000,450000.000000
450000.000000,350000.000000
450000.000000,400000.000000
304650000.000000,350000.000000
304700000.000000,400000.000000
304650000.000000,350000.000000
400000.000000,400000.000000
304700000.000000,350000.000000
304700000.000000,350000.000000
304650000.000000,350000.000000
400000.000000,400000.000000
400000.000000,350000.000000
304650000.000000,300000.000000
304650000.000000,300000.000000
304650000.000000,400000.000000
450000.000000,400000.000000
304650000.000000,350000.000000
304650000.000000,300000.000000
