tx_throughput,rx_throughput
201050000.000000,17350000.000000
500000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,400000.000000
283600000.000000,17350000.000000
500000.000000,17350000.000000
500000.000000,17350000.000000
283600000.000000,400000.000000
283550000.000000,17350000.000000
450000.000000,17300000.000000
450000.000000,17300000.000000
283650000.000000,450000.000000
283600000.000000,400000.000000
283600000.000000,17350000.000000
450000.000000,17350000.000000
206650000.000000,1350000.000000
283600000.000000,400000.000000
283550000.000000,17350000.000000
500000.000000,17350000.000000
400000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,400000.000000
283550000.000000,17300000.000000
450000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
283600000.000000,17350000.000000
450000.000000,17350000.000000
283600000.000000,350000.000000
283600000.000000,400000.000000
283600000.000000,17300000.000000
450000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,13850000.000000
500000.000000,17350000.000000
400000.000000,17350000.000000
283600000.000000,350000.000000
283600000.000000,350000.000000
283600000.000000,17300000.000000
500000.000000,17300000.000000
450000.000000,14200000.000000
283600000.000000,400000.000000
283600000.000000,17350000.000000
450000.000000,17300000.000000
400000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
283600000.000000,17350000.000000
400000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,400000.000000
283550000.000000,17350000.000000
450000.000000,17350000.000000
500000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,13050000.000000
12750000.000000,17350000.000000
500000.000000,17350000.000000
283650000.000000,400000.000000
283600000.000000,400000.000000
283600000.000000,17350000.000000
450000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,17300000.000000
450000.000000,17350000.000000
450000.000000,17300000.000000
283550000.000000,350000.000000
283600000.000000,350000.000000
283600000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,400000.000000
283550000.000000,17350000.000000
450000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,450000.000000
264100000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,350000.000000
283550000.000000,17350000.000000
400000.000000,17300000.000000
400000.000000,17300000.000000
283600000.000000,350000.000000
283550000.000000,17300000.000000
450000.000000,17300000.000000
450000.000000,17350000.000000
283600000.000000,400000.000000
283600000.000000,400000.000000
283600000.000000,17300000.000000
450000.000000,17350000.000000
450000.000000,17350000.000000
283600000.000000,350000.000000
283600000.000000,17350000.000000
450000.000000,17350000.000000
500000.000000,17350000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
283600000.000000,17350000.000000
500000.000000,17350000.000000
104600000.000000,7550000.000000
283550000.000000,400000.000000
283600000.000000,17350000.000000
450000.000000,17350000.000000
2200000.000000,23050000.000000
284150000.000000,750000.000000
284000000.000000,17700000.000000
1350000.000000,17750000.000000
950000.000000,18050000.000000
284450000.000000,1050000.000000
284450000.000000,9000000.000000
59800000.000000,18150000.000000
1400000.000000,18100000.000000
284550000.000000,1150000.000000
284450000.000000,1200000.000000
286650000.000000,17350000.000000
450000.000000,17350000.000000
450000.000000,17350000.000000
283600000.000000,400000.000000
283600000.000000,17300000.000000
500000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,400000.000000
283600000.000000,17350000.000000
500000.000000,17300000.000000
140400000.000000,5450000.000000
283600000.000000,400000.000000
283600000.000000,17300000.000000
500000.000000,17350000.000000
450000.000000,17350000.000000
283600000.000000,400000.000000
283600000.000000,400000.000000
283600000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
283600000.000000,17300000.000000
450000.000000,17300000.000000
400000.000000,17300000.000000
283550000.000000,350000.000000
283600000.000000,9350000.000000
74200000.000000,17300000.000000
400000.000000,17350000.000000
283500000.000000,350000.000000
283600000.000000,400000.000000
283550000.000000,17300000.000000
400000.000000,17250000.000000
450000.000000,17300000.000000
283550000.000000,350000.000000
283550000.000000,17300000.000000
400000.000000,17300000.000000
450000.000000,17300000.000000
283600000.000000,450000.000000
283600000.000000,400000.000000
283600000.000000,17300000.000000
400000.000000,17300000.000000
283500000.000000,400000.000000
283550000.000000,400000.000000
