tx_throughput,rx_throughput
176600000.000000,17300000.000000
500000.000000,17300000.000000
283550000.000000,400000.000000
283550000.000000,350000.000000
283550000.000000,17250000.000000
500000.000000,17300000.000000
450000.000000,16450000.000000
283550000.000000,350000.000000
283550000.000000,17350000.000000
450000.000000,17300000.000000
400000.000000,17300000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,17300000.000000
400000.000000,17350000.000000
283550000.000000,400000.000000
283550000.000000,400000.000000
283550000.000000,17300000.000000
450000.000000,17300000.000000
450000.000000,17350000.000000
283550000.000000,350000.000000
283550000.000000,1900000.000000
197900000.000000,17300000.000000
450000.000000,17350000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283650000.000000,17350000.000000
400000.000000,17300000.000000
450000.000000,17300000.000000
283550000.000000,400000.000000
283600000.000000,17300000.000000
400000.000000,17300000.000000
2250000.000000,23150000.000000
284250000.000000,1250000.000000
284550000.000000,1250000.000000
284900000.000000,18200000.000000
1500000.000000,18200000.000000
284550000.000000,1150000.000000
284500000.000000,1100000.000000
284450000.000000,18050000.000000
1400000.000000,18150000.000000
1400000.000000,18100000.000000
284500000.000000,750000.000000
286150000.000000,17350000.000000
450000.000000,17300000.000000
450000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
283550000.000000,17300000.000000
450000.000000,17300000.000000
219700000.000000,650000.000000
283550000.000000,350000.000000
283600000.000000,17300000.000000
500000.000000,17300000.000000
500000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,400000.000000
283600000.000000,17350000.000000
450000.000000,17300000.000000
283600000.000000,350000.000000
283600000.000000,350000.000000
283600000.000000,17300000.000000
450000.000000,17300000.000000
400000.000000,17300000.000000
283600000.000000,400000.000000
283600000.000000,17300000.000000
450000.000000,17350000.000000
450000.000000,17300000.000000
283550000.000000,400000.000000
283550000.000000,350000.000000
283550000.000000,17300000.000000
450000.000000,17300000.000000
450000.000000,17300000.000000
283600000.000000,350000.000000
283550000.000000,17350000.000000
450000.000000,17250000.000000
450000.000000,17300000.000000
283550000.000000,400000.000000
283500000.000000,400000.000000
283600000.000000,17300000.000000
450000.000000,17300000.000000
258100000.000000,450000.000000
283600000.000000,350000.000000
283500000.000000,17300000.000000
450000.000000,17300000.000000
450000.000000,17350000.000000
283550000.000000,350000.000000
283550000.000000,4400000.000000
157200000.000000,17350000.000000
500000.000000,17350000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
283550000.000000,17300000.000000
400000.000000,17300000.000000
400000.000000,17300000.000000
283500000.000000,350000.000000
283550000.000000,17300000.000000
450000.000000,17300000.000000
400000.000000,17250000.000000
283600000.000000,350000.000000
283550000.000000,400000.000000
283550000.000000,17350000.000000
450000.000000,17350000.000000
114600000.000000,6950000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
283650000.000000,17400000.000000
450000.000000,17300000.000000
500000.000000,17300000.000000
283550000.000000,350000.000000
283600000.000000,14450000.000000
500000.000000,17350000.000000
450000.000000,17350000.000000
283600000.000000,400000.000000
283550000.000000,400000.000000
283550000.000000,17300000.000000
400000.000000,17350000.000000
450000.000000,17300000.000000
283550000.000000,350000.000000
283500000.000000,17300000.000000
400000.000000,17250000.000000
450000.000000,17300000.000000
283600000.000000,400000.000000
283550000.000000,400000.000000
283550000.000000,17350000.000000
400000.000000,17250000.000000
259850000.000000,350000.000000
283600000.000000,350000.000000
283550000.000000,17300000.000000
400000.000000,17350000.000000
450000.000000,17350000.000000
283550000.000000,400000.000000
283550000.000000,350000.000000
231900000.000000,17300000.000000
450000.000000,17300000.000000
283550000.000000,400000.000000
283550000.000000,400000.000000
283550000.000000,17300000.000000
450000.000000,17350000.000000
450000.000000,17300000.000000
283550000.000000,350000.000000
283550000.000000,17350000.000000
400000.000000,17300000.000000
400000.000000,17300000.000000
283550000.000000,350000.000000
283600000.000000,350000.000000
283550000.000000,17300000.000000
450000.000000,17300000.000000
53250000.000000,10500000.000000
283550000.000000,400000.000000
283550000.000000,17300000.000000
450000.000000,17300000.000000
450000.000000,17300000.000000
283550000.000000,400000.000000
286900000.000000,5400000.000000
284600000.000000,18200000.000000
1500000.000000,18200000.000000
284950000.000000,1200000.000000
284500000.000000,1200000.000000
284500000.000000,18150000.000000
1500000.000000,18250000.000000
1500000.000000,18200000.000000
233800000.000000,1250000.000000
