tx_throughput,rx_throughput
400000.000000,400000.000000
1215950000.000000,2750000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
400000.000000,450000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
450000.000000,400000.000000
674250000.000000,350000.000000
1215850000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,350000.000000
400000.000000,350000.000000
1215950000.000000,350000.000000
1215900000.000000,350000.000000
1215850000.000000,400000.000000
400000.000000,400000.000000
1098900000.000000,400000.000000
1215850000.000000,350000.000000
1215900000.000000,450000.000000
400000.000000,400000.000000
450000.000000,350000.000000
1215950000.000000,350000.000000
1215900000.000000,300000.000000
1215950000.000000,400000.000000
400000.000000,350000.000000
1215950000.000000,350000.000000
1215850000.000000,400000.000000
1215900000.000000,350000.000000
350000.000000,400000.000000
350000.000000,400000.000000
1215950000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
400000.000000,400000.000000
1215900000.000000,300000.000000
1215900000.000000,350000.000000
1215900000.000000,400000.000000
350000.000000,400000.000000
450000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,300000.000000
1215900000.000000,400000.000000
350000.000000,400000.000000
1215950000.000000,350000.000000
1215850000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
1215850000.000000,300000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,300000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
450000.000000,450000.000000
400000.000000,350000.000000
1215950000.000000,350000.000000
1215950000.000000,400000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
419550000.000000,400000.000000
1215900000.000000,300000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
350000.000000,350000.000000
1215900000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
787300000.000000,350000.000000
1215950000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,350000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
450000.000000,450000.000000
1215900000.000000,350000.000000
1215900000.000000,300000.000000
1215950000.000000,400000.000000
350000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
350000.000000,400000.000000
1215900000.000000,350000.000000
1215850000.000000,300000.000000
1215900000.000000,400000.000000
400000.000000,450000.000000
400000.000000,350000.000000
1215900000.000000,400000.000000
1215950000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,300000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
400000.000000,350000.000000
400000.000000,400000.000000
1220400000.000000,3250000.000000
1216750000.000000,1000000.000000
1216750000.000000,1100000.000000
1550000.000000,1100000.000000
1216700000.000000,1050000.000000
1216700000.000000,1000000.000000
1216700000.000000,1100000.000000
1250000.000000,1100000.000000
1200000.000000,1100000.000000
1216700000.000000,1000000.000000
1216750000.000000,2700000.000000
1215850000.000000,400000.000000
450000.000000,350000.000000
350000.000000,400000.000000
1215850000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
1215950000.000000,400000.000000
350000.000000,350000.000000
450000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
400000.000000,350000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215900000.000000,400000.000000
350000.000000,350000.000000
400000.000000,450000.000000
1215900000.000000,300000.000000
1215900000.000000,400000.000000
350000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,300000.000000
1215900000.000000,350000.000000
1215850000.000000,400000.000000
350000.000000,400000.000000
400000.000000,350000.000000
1215900000.000000,300000.000000
1215900000.000000,400000.000000
350000.000000,450000.000000
450000.000000,450000.000000
1215950000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,450000.000000
400000.000000,400000.000000
350000.000000,450000.000000
1215900000.000000,350000.000000
1215900000.000000,400000.000000
