tx_throughput,rx_throughput
729400000.000000,400000.000000
450000.000000,450000.000000
1215950000.000000,350000.000000
1215950000.000000,400000.000000
1215950000.000000,400000.000000
400000.000000,450000.000000
400000.000000,450000.000000
1215950000.000000,300000.000000
1215950000.000000,450000.000000
400000.000000,450000.000000
450000.000000,400000.000000
1216000000.000000,350000.000000
1216000000.000000,350000.000000
1215950000.000000,450000.000000
450000.000000,400000.000000
75400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
968900000.000000,350000.000000
1215900000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,350000.000000
450000.000000,350000.000000
1215950000.000000,300000.000000
1215900000.000000,350000.000000
1215900000.000000,450000.000000
400000.000000,450000.000000
1027750000.000000,350000.000000
1215950000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,350000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
350000.000000,400000.000000
9450000.000000,350000.000000
1215900000.000000,300000.000000
1215950000.000000,400000.000000
450000.000000,350000.000000
755750000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
1215950000.000000,350000.000000
1215900000.000000,450000.000000
400000.000000,450000.000000
350000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
500000.000000,400000.000000
400000.000000,400000.000000
1216000000.000000,350000.000000
1215950000.000000,300000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
450000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
450000.000000,450000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
1215950000.000000,350000.000000
1215950000.000000,450000.000000
400000.000000,450000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
400000.000000,400000.000000
350000.000000,400000.000000
1215950000.000000,350000.000000
1215900000.000000,350000.000000
904300000.000000,400000.000000
400000.000000,350000.000000
1215950000.000000,4000000.000000
1219750000.000000,1100000.000000
1216750000.000000,1050000.000000
1150000.000000,1100000.000000
1150000.000000,1100000.000000
1216750000.000000,1000000.000000
1216650000.000000,1050000.000000
1300000.000000,1150000.000000
1200000.000000,1200000.000000
1216750000.000000,1100000.000000
1216750000.000000,1050000.000000
1218600000.000000,450000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,400000.000000
1215900000.000000,400000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,350000.000000
1216000000.000000,350000.000000
1215950000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215950000.000000,400000.000000
1215950000.000000,400000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215850000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215850000.000000,350000.000000
1215900000.000000,400000.000000
574750000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
1215950000.000000,400000.000000
450000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
1215950000.000000,450000.000000
400000.000000,400000.000000
1215900000.000000,300000.000000
1215900000.000000,350000.000000
1215950000.000000,450000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,300000.000000
1215950000.000000,350000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215950000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,750000.000000
450000.000000,350000.000000
400000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215950000.000000,400000.000000
450000.000000,350000.000000
331050000.000000,350000.000000
1215850000.000000,350000.000000
1215900000.000000,350000.000000
400000.000000,400000.000000
450000.000000,400000.000000
1215900000.000000,350000.000000
1215900000.000000,350000.000000
1215900000.000000,400000.000000
400000.000000,400000.000000
