tx_throughput,rx_throughput
36650000.000000,8000000.000000
500000.000000,8050000.000000
128050000.000000,400000.000000
128050000.000000,400000.000000
128150000.000000,8000000.000000
500000.000000,8000000.000000
43650000.000000,2250000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8050000.000000
450000.000000,8050000.000000
128000000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,7950000.000000
450000.000000,8050000.000000
128100000.000000,350000.000000
128050000.000000,400000.000000
128050000.000000,8000000.000000
400000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128100000.000000,400000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,400000.000000
128050000.000000,400000.000000
128100000.000000,8000000.000000
450000.000000,7950000.000000
450000.000000,8000000.000000
128100000.000000,400000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
500000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,400000.000000
128000000.000000,8000000.000000
450000.000000,7950000.000000
400000.000000,5950000.000000
128050000.000000,400000.000000
128100000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,400000.000000
128100000.000000,400000.000000
91600000.000000,8000000.000000
450000.000000,8000000.000000
128100000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128000000.000000,400000.000000
128050000.000000,5000000.000000
450000.000000,7950000.000000
400000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128000000.000000,350000.000000
128050000.000000,400000.000000
96350000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8050000.000000
450000.000000,8000000.000000
128050000.000000,400000.000000
128100000.000000,5950000.000000
400000.000000,8000000.000000
500000.000000,8000000.000000
128050000.000000,400000.000000
128100000.000000,350000.000000
128050000.000000,8000000.000000
500000.000000,8000000.000000
400000.000000,8000000.000000
128100000.000000,400000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
400000.000000,8000000.000000
128050000.000000,400000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,12150000.000000
132250000.000000,1200000.000000
129000000.000000,8800000.000000
1400000.000000,8850000.000000
1250000.000000,8800000.000000
128950000.000000,1200000.000000
128900000.000000,1150000.000000
129000000.000000,1150000.000000
74150000.000000,8800000.000000
1350000.000000,8700000.000000
129000000.000000,1150000.000000
130900000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
500000.000000,8000000.000000
128100000.000000,350000.000000
128050000.000000,5500000.000000
400000.000000,8000000.000000
450000.000000,7950000.000000
128050000.000000,350000.000000
128100000.000000,400000.000000
128050000.000000,8000000.000000
400000.000000,7950000.000000
450000.000000,7950000.000000
128000000.000000,350000.000000
128100000.000000,8000000.000000
450000.000000,7950000.000000
500000.000000,7950000.000000
128050000.000000,350000.000000
128000000.000000,400000.000000
128050000.000000,7950000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
400000.000000,8000000.000000
400000.000000,8000000.000000
128000000.000000,350000.000000
128000000.000000,350000.000000
128100000.000000,8000000.000000
450000.000000,7950000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,7950000.000000
450000.000000,8000000.000000
450000.000000,7950000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128000000.000000,8000000.000000
450000.000000,8000000.000000
97350000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
400000.000000,7950000.000000
450000.000000,7950000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
400000.000000,7950000.000000
128050000.000000,400000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
400000.000000,7950000.000000
450000.000000,7950000.000000
128050000.000000,400000.000000
128050000.000000,7950000.000000
400000.000000,8000000.000000
400000.000000,7950000.000000
128050000.000000,350000.000000
128000000.000000,350000.000000
128000000.000000,8000000.000000
450000.000000,8000000.000000
46750000.000000,550000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
400000.000000,8000000.000000
