tx_throughput,rx_throughput
18900000.000000,8000000.000000
500000.000000,8000000.000000
128100000.000000,350000.000000
128050000.000000,400000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
500000.000000,7950000.000000
131350000.000000,5000000.000000
129050000.000000,8800000.000000
1300000.000000,8800000.000000
1700000.000000,8750000.000000
129000000.000000,1150000.000000
129000000.000000,1200000.000000
129000000.000000,8850000.000000
1450000.000000,8750000.000000
10400000.000000,5300000.000000
129000000.000000,1150000.000000
129000000.000000,10500000.000000
450000.000000,8000000.000000
400000.000000,8000000.000000
128000000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,7950000.000000
450000.000000,8000000.000000
128100000.000000,350000.000000
128050000.000000,350000.000000
128000000.000000,8000000.000000
400000.000000,7950000.000000
400000.000000,7950000.000000
128050000.000000,350000.000000
128050000.000000,400000.000000
128100000.000000,8000000.000000
500000.000000,8000000.000000
128050000.000000,400000.000000
128050000.000000,350000.000000
128050000.000000,7950000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,400000.000000
128000000.000000,8000000.000000
400000.000000,8000000.000000
400000.000000,7950000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,7950000.000000
128000000.000000,350000.000000
128050000.000000,7950000.000000
400000.000000,7950000.000000
400000.000000,8000000.000000
128100000.000000,350000.000000
128100000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,400000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128000000.000000,8000000.000000
450000.000000,8000000.000000
24250000.000000,3650000.000000
128050000.000000,400000.000000
128100000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,400000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
42100000.000000,2600000.000000
128050000.000000,350000.000000
128050000.000000,400000.000000
128050000.000000,7950000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,400000.000000
128050000.000000,7950000.000000
500000.000000,8000000.000000
400000.000000,7950000.000000
128000000.000000,400000.000000
128000000.000000,350000.000000
128050000.000000,7950000.000000
400000.000000,8000000.000000
400000.000000,8000000.000000
128050000.000000,350000.000000
128000000.000000,8000000.000000
450000.000000,8000000.000000
400000.000000,7950000.000000
128050000.000000,350000.000000
128100000.000000,350000.000000
128000000.000000,7950000.000000
400000.000000,7950000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128100000.000000,7950000.000000
400000.000000,8000000.000000
400000.000000,8000000.000000
128050000.000000,400000.000000
128050000.000000,400000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
450000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,7950000.000000
400000.000000,7950000.000000
128050000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,7950000.000000
450000.000000,8000000.000000
400000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
400000.000000,7950000.000000
450000.000000,7950000.000000
128050000.000000,350000.000000
128050000.000000,400000.000000
128000000.000000,8000000.000000
450000.000000,7950000.000000
14050000.000000,2750000.000000
128000000.000000,350000.000000
132850000.000000,3500000.000000
128900000.000000,8700000.000000
1300000.000000,8700000.000000
1750000.000000,8700000.000000
129000000.000000,1100000.000000
129050000.000000,1200000.000000
128950000.000000,8750000.000000
1350000.000000,8700000.000000
128950000.000000,1200000.000000
129000000.000000,1100000.000000
129000000.000000,10350000.000000
400000.000000,8000000.000000
450000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,400000.000000
128050000.000000,7950000.000000
400000.000000,7950000.000000
128000000.000000,350000.000000
128050000.000000,350000.000000
128050000.000000,8000000.000000
400000.000000,7950000.000000
400000.000000,8000000.000000
128050000.000000,350000.000000
128050000.000000,7950000.000000
450000.000000,8000000.000000
500000.000000,8000000.000000
128050000.000000,350000.000000
128000000.000000,350000.000000
128000000.000000,7950000.000000
400000.000000,7950000.000000
450000.000000,8000000.000000
128100000.000000,350000.000000
128000000.000000,8000000.000000
400000.000000,7950000.000000
