tx_throughput,rx_throughput
174050000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283600000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304650000.000000
400000.000000,304550000.000000
243000000.000000,266250000.000000
283500000.000000,350000.000000
283500000.000000,350000.000000
283550000.000000,304600000.000000
450000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,400000.000000
283500000.000000,2700000.000000
181950000.000000,304600000.000000
450000.000000,304600000.000000
283500000.000000,350000.000000
283550000.000000,350000.000000
283500000.000000,304600000.000000
450000.000000,304600000.000000
400000.000000,304550000.000000
283550000.000000,300000.000000
283550000.000000,3450000.000000
168800000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
350000.000000,304550000.000000
283550000.000000,350000.000000
283550000.000000,284200000.000000
400000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,300000.000000
283550000.000000,304650000.000000
450000.000000,304600000.000000
62750000.000000,297000000.000000
283500000.000000,350000.000000
283500000.000000,304550000.000000
400000.000000,304600000.000000
450000.000000,304650000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
283500000.000000,110250000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
450000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,400000.000000
283550000.000000,350000.000000
283600000.000000,304600000.000000
450000.000000,304600000.000000
134050000.000000,292850000.000000
283550000.000000,350000.000000
283600000.000000,304600000.000000
400000.000000,304550000.000000
400000.000000,304650000.000000
283600000.000000,350000.000000
283550000.000000,400000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
200950000.000000,288750000.000000
283550000.000000,350000.000000
283600000.000000,304600000.000000
450000.000000,304600000.000000
450000.000000,304550000.000000
283600000.000000,400000.000000
283600000.000000,350000.000000
223250000.000000,304650000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,300000.000000
283600000.000000,304600000.000000
450000.000000,304600000.000000
450000.000000,304600000.000000
283500000.000000,350000.000000
283500000.000000,3050000.000000
175300000.000000,304600000.000000
400000.000000,304600000.000000
283600000.000000,350000.000000
283600000.000000,350000.000000
283550000.000000,307200000.000000
6050000.000000,305350000.000000
1350000.000000,305400000.000000
1250000.000000,305350000.000000
284450000.000000,1100000.000000
284400000.000000,1150000.000000
284400000.000000,305400000.000000
1250000.000000,305400000.000000
284400000.000000,192100000.000000
284450000.000000,1150000.000000
284400000.000000,305350000.000000
1250000.000000,307200000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283600000.000000,350000.000000
283500000.000000,304550000.000000
400000.000000,304550000.000000
283550000.000000,43700000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,350000.000000
283550000.000000,304600000.000000
500000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304550000.000000
450000.000000,304550000.000000
400000.000000,304600000.000000
283600000.000000,350000.000000
283550000.000000,8750000.000000
81300000.000000,304600000.000000
450000.000000,304550000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,25050000.000000
450000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,350000.000000
283500000.000000,304550000.000000
400000.000000,304550000.000000
550000.000000,304550000.000000
283600000.000000,350000.000000
283550000.000000,304550000.000000
400000.000000,304600000.000000
400000.000000,304550000.000000
283500000.000000,350000.000000
283550000.000000,350000.000000
283500000.000000,304650000.000000
400000.000000,304600000.000000
283550000.000000,123750000.000000
283500000.000000,350000.000000
283550000.000000,304550000.000000
400000.000000,304600000.000000
400000.000000,304650000.000000
283500000.000000,350000.000000
283600000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,139050000.000000
283500000.000000,350000.000000
283550000.000000,304600000.000000
