tx_throughput,rx_throughput
180500000.000000,304650000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283600000.000000,304650000.000000
400000.000000,304600000.000000
400000.000000,304550000.000000
283550000.000000,350000.000000
283500000.000000,17250000.000000
450000.000000,304550000.000000
400000.000000,304550000.000000
283500000.000000,350000.000000
283550000.000000,350000.000000
283500000.000000,304550000.000000
400000.000000,304600000.000000
4600000.000000,300700000.000000
283600000.000000,350000.000000
283550000.000000,304650000.000000
450000.000000,304550000.000000
400000.000000,304650000.000000
283550000.000000,350000.000000
283500000.000000,400000.000000
283550000.000000,304650000.000000
400000.000000,304550000.000000
140000000.000000,292450000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
450000.000000,304550000.000000
400000.000000,304600000.000000
283500000.000000,350000.000000
283500000.000000,350000.000000
283500000.000000,304600000.000000
450000.000000,304600000.000000
283500000.000000,300000.000000
283550000.000000,350000.000000
283500000.000000,304600000.000000
400000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283600000.000000,59500000.000000
3550000.000000,308800000.000000
1250000.000000,305350000.000000
284350000.000000,1050000.000000
284750000.000000,1050000.000000
284400000.000000,305400000.000000
1250000.000000,305350000.000000
1300000.000000,305300000.000000
284400000.000000,1050000.000000
284400000.000000,4450000.000000
166600000.000000,305300000.000000
1300000.000000,307050000.000000
283550000.000000,300000.000000
283600000.000000,350000.000000
283550000.000000,304650000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283600000.000000,350000.000000
283550000.000000,300000.000000
260700000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,2450000.000000
185300000.000000,304550000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283600000.000000,350000.000000
283600000.000000,304600000.000000
400000.000000,304650000.000000
400000.000000,304600000.000000
283600000.000000,350000.000000
283550000.000000,17250000.000000
450000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283550000.000000,304550000.000000
400000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,272500000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283650000.000000,350000.000000
283600000.000000,304600000.000000
400000.000000,304550000.000000
97250000.000000,295000000.000000
283550000.000000,350000.000000
283600000.000000,285950000.000000
450000.000000,304650000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,350000.000000
283550000.000000,304600000.000000
450000.000000,304650000.000000
450000.000000,302300000.000000
283550000.000000,400000.000000
283550000.000000,304600000.000000
400000.000000,304600000.000000
450000.000000,304600000.000000
283500000.000000,350000.000000
283500000.000000,300000.000000
283500000.000000,304550000.000000
400000.000000,304550000.000000
260150000.000000,287700000.000000
283500000.000000,350000.000000
283500000.000000,304600000.000000
400000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,350000.000000
283500000.000000,304550000.000000
350000.000000,304600000.000000
283500000.000000,350000.000000
283550000.000000,300000.000000
283550000.000000,304550000.000000
450000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,69100000.000000
450000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,300000.000000
283550000.000000,350000.000000
283500000.000000,304600000.000000
400000.000000,304600000.000000
123300000.000000,293500000.000000
283500000.000000,350000.000000
283550000.000000,304550000.000000
400000.000000,304600000.000000
400000.000000,304550000.000000
283500000.000000,350000.000000
283600000.000000,1200000.000000
206550000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,400000.000000
283550000.000000,304600000.000000
450000.000000,304600000.000000
450000.000000,304600000.000000
283550000.000000,400000.000000
283550000.000000,400000.000000
221350000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,350000.000000
283600000.000000,304550000.000000
400000.000000,304600000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283550000.000000,14900000.000000
450000.000000,304550000.000000
400000.000000,304600000.000000
283550000.000000,350000.000000
283500000.000000,350000.000000
283500000.000000,350000.000000
283600000.000000,2900000.000000
289300000.000000,1150000.000000
