tx_throughput,rx_throughput
135600000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1270550000.000000,370650000.000000
1350950000.000000,450000.000000
135500000.000000,1182100000.000000
400000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1350950000.000000,450000.000000
770700000.000000,400000.000000
135550000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1351050000.000000,350000.000000
1351050000.000000,450000.000000
135600000.000000,1182100000.000000
450000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
135550000.000000,450000.000000
135550000.000000,1182100000.000000
1216000000.000000,1182100000.000000
1351050000.000000,400000.000000
1351000000.000000,450000.000000
135600000.000000,1182050000.000000
450000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1351000000.000000,400000.000000
135550000.000000,450000.000000
117750000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1350950000.000000,400000.000000
1351000000.000000,400000.000000
135500000.000000,1182150000.000000
400000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1351000000.000000,450000.000000
135500000.000000,535450000.000000
36100000.000000,1182150000.000000
1216050000.000000,1182150000.000000
1215950000.000000,1182050000.000000
1351000000.000000,350000.000000
325150000.000000,400000.000000
135550000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351050000.000000,400000.000000
1351050000.000000,400000.000000
135550000.000000,1182100000.000000
89850000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,450000.000000
135500000.000000,1127500000.000000
450000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1351000000.000000,350000.000000
1350950000.000000,450000.000000
135550000.000000,1182100000.000000
346400000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
450000.000000,1182100000.000000
1216000000.000000,1182100000.000000
1351050000.000000,350000.000000
1354550000.000000,4800000.000000
136400000.000000,1183000000.000000
1216750000.000000,1182850000.000000
1217250000.000000,1182850000.000000
1352000000.000000,1100000.000000
136450000.000000,1182900000.000000
1300000.000000,1182900000.000000
1216800000.000000,1182950000.000000
1351900000.000000,1150000.000000
1351850000.000000,1100000.000000
136400000.000000,1184600000.000000
1215950000.000000,1182150000.000000
1249900000.000000,554800000.000000
1351000000.000000,400000.000000
135500000.000000,1182100000.000000
400000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1351000000.000000,350000.000000
1351000000.000000,450000.000000
135500000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1301000000.000000,105700000.000000
1351000000.000000,400000.000000
135500000.000000,1182150000.000000
450000.000000,1182150000.000000
1215900000.000000,1182100000.000000
1351000000.000000,350000.000000
785450000.000000,400000.000000
135550000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1308450000.000000,40300000.000000
1351050000.000000,400000.000000
135600000.000000,1182100000.000000
400000.000000,1182100000.000000
1216000000.000000,1182100000.000000
1351000000.000000,450000.000000
251750000.000000,350000.000000
135550000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1350950000.000000,350000.000000
1351000000.000000,450000.000000
135550000.000000,1182100000.000000
400000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
135550000.000000,149650000.000000
80100000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
1351000000.000000,400000.000000
135500000.000000,1182100000.000000
19550000.000000,1182150000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
135500000.000000,1182100000.000000
400000.000000,1182100000.000000
1216000000.000000,1182050000.000000
1351000000.000000,400000.000000
1351000000.000000,450000.000000
135550000.000000,1182100000.000000
536850000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,450000.000000
135600000.000000,1182150000.000000
450000.000000,1182100000.000000
1216000000.000000,1182100000.000000
400000.000000,1182100000.000000
1215950000.000000,1182050000.000000
1351050000.000000,400000.000000
135500000.000000,400000.000000
135500000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1351000000.000000,400000.000000
1351000000.000000,450000.000000
135550000.000000,1182100000.000000
210550000.000000,1182150000.000000
1215950000.000000,1182050000.000000
1350950000.000000,400000.000000
135550000.000000,1182100000.000000
400000.000000,1182050000.000000
1215950000.000000,1182100000.000000
400000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
135550000.000000,67000000.000000
89750000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1350950000.000000,350000.000000
1350950000.000000,450000.000000
135550000.000000,1182100000.000000
230000000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1351000000.000000,400000.000000
135600000.000000,904900000.000000
450000.000000,1182100000.000000
1216000000.000000,1182150000.000000
1351000000.000000,400000.000000
1351050000.000000,450000.000000
135600000.000000,1182150000.000000
844500000.000000,1182150000.000000
