tx_throughput,rx_throughput
135550000.000000,1182100000.000000
1215900000.000000,1182050000.000000
1260350000.000000,459550000.000000
1350950000.000000,400000.000000
135500000.000000,1182100000.000000
450000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1350950000.000000,400000.000000
760800000.000000,450000.000000
135550000.000000,450000.000000
135550000.000000,1185900000.000000
5250000.000000,1182950000.000000
1216950000.000000,1182900000.000000
1352050000.000000,1200000.000000
1352000000.000000,1200000.000000
136500000.000000,1182950000.000000
1216800000.000000,1182900000.000000
1272350000.000000,365900000.000000
1352050000.000000,1250000.000000
136550000.000000,1182900000.000000
1350000.000000,1182950000.000000
1218850000.000000,1182100000.000000
1351050000.000000,400000.000000
188350000.000000,400000.000000
135550000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,350000.000000
1350950000.000000,400000.000000
135500000.000000,1182100000.000000
189250000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
400000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1351000000.000000,400000.000000
1351000000.000000,400000.000000
135500000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1215900000.000000,979150000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
450000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,350000.000000
1351000000.000000,350000.000000
135550000.000000,1182150000.000000
450000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1350950000.000000,350000.000000
1351000000.000000,400000.000000
135500000.000000,1182100000.000000
1215900000.000000,1182050000.000000
1342300000.000000,350000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
400000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1351000000.000000,450000.000000
135600000.000000,974050000.000000
450000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
1351000000.000000,450000.000000
135600000.000000,1182050000.000000
1215950000.000000,1182150000.000000
1218050000.000000,833050000.000000
1350950000.000000,400000.000000
135550000.000000,1182050000.000000
450000.000000,1182150000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
135500000.000000,400000.000000
135500000.000000,1182100000.000000
1215900000.000000,1182150000.000000
1351000000.000000,350000.000000
1350950000.000000,400000.000000
135500000.000000,1182100000.000000
746300000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,400000.000000
135500000.000000,1182100000.000000
400000.000000,1182150000.000000
1215950000.000000,1182200000.000000
1351050000.000000,350000.000000
1351000000.000000,400000.000000
135600000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1271250000.000000,368550000.000000
1351050000.000000,400000.000000
135600000.000000,1182150000.000000
450000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351050000.000000,450000.000000
135550000.000000,400000.000000
135550000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1350950000.000000,350000.000000
1351000000.000000,450000.000000
135550000.000000,1182100000.000000
736850000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,450000.000000
135550000.000000,1182100000.000000
400000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351050000.000000,400000.000000
1351050000.000000,450000.000000
135600000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,350000.000000
1351000000.000000,400000.000000
135600000.000000,1182150000.000000
450000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351050000.000000,450000.000000
135550000.000000,450000.000000
135550000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1351050000.000000,350000.000000
1351050000.000000,450000.000000
135550000.000000,1182100000.000000
600900000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,450000.000000
135550000.000000,1182150000.000000
450000.000000,1182050000.000000
1215900000.000000,1182150000.000000
1351000000.000000,350000.000000
862500000.000000,400000.000000
135550000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1356250000.000000,3500000.000000
1351950000.000000,1200000.000000
136450000.000000,1182950000.000000
174200000.000000,1182900000.000000
1216800000.000000,1182850000.000000
1351950000.000000,1200000.000000
136450000.000000,961050000.000000
1350000.000000,1182900000.000000
1216800000.000000,1182900000.000000
1351850000.000000,1100000.000000
1352000000.000000,2900000.000000
135600000.000000,1182150000.000000
1215950000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1350950000.000000,400000.000000
135550000.000000,1182100000.000000
400000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1351000000.000000,350000.000000
1351000000.000000,450000.000000
135500000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1273900000.000000,346300000.000000
1350950000.000000,450000.000000
135600000.000000,1182100000.000000
450000.000000,400000.000000
135500000.000000,1182100000.000000
1215900000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1350950000.000000,400000.000000
