tx_throughput,rx_throughput
1018350000.000000,1215850000.000000
450000.000000,1215850000.000000
777950000.000000,1165700000.000000
1131550000.000000,350000.000000
1131550000.000000,372400000.000000
500000.000000,1215900000.000000
450000.000000,1215900000.000000
1131550000.000000,318650000.000000
1131500000.000000,3250000.000000
1020150000.000000,1215850000.000000
400000.000000,1215850000.000000
499000000.000000,1182250000.000000
1131500000.000000,350000.000000
1131550000.000000,63550000.000000
10500000.000000,1215900000.000000
450000.000000,1215850000.000000
1131500000.000000,468350000.000000
1131500000.000000,350000.000000
1131500000.000000,1215900000.000000
450000.000000,1215850000.000000
430450000.000000,1186400000.000000
1131550000.000000,350000.000000
1131550000.000000,164750000.000000
450000.000000,1215800000.000000
400000.000000,1215850000.000000
1131450000.000000,198050000.000000
1131500000.000000,3200000.000000
1021300000.000000,1215850000.000000
400000.000000,1215800000.000000
779650000.000000,1165550000.000000
1131550000.000000,350000.000000
1131600000.000000,372850000.000000
550000.000000,1215850000.000000
450000.000000,1215850000.000000
1131600000.000000,400000.000000
1131550000.000000,14350000.000000
835700000.000000,1215900000.000000
450000.000000,1215850000.000000
777850000.000000,1165800000.000000
1131550000.000000,450000.000000
1131550000.000000,387600000.000000
500000.000000,1215850000.000000
450000.000000,1215900000.000000
1131600000.000000,97800000.000000
1131600000.000000,4150000.000000
1007450000.000000,1215850000.000000
450000.000000,1215900000.000000
648550000.000000,1173400000.000000
1131550000.000000,400000.000000
1131550000.000000,316150000.000000
550000.000000,1215900000.000000
450000.000000,1215850000.000000
1131550000.000000,59650000.000000
1131550000.000000,2650000.000000
1031250000.000000,1215850000.000000
400000.000000,1215900000.000000
529700000.000000,1180500000.000000
1131550000.000000,350000.000000
1131550000.000000,88050000.000000
500000.000000,350000.000000
1131550000.000000,787450000.000000
550000.000000,1215850000.000000
450000.000000,1215950000.000000
1131600000.000000,400000.000000
1131550000.000000,34000000.000000
504000000.000000,1215850000.000000
450000.000000,1215900000.000000
1131550000.000000,1005350000.000000
1131550000.000000,350000.000000
1131500000.000000,713400000.000000
550000.000000,1215900000.000000
450000.000000,1215850000.000000
1131550000.000000,400000.000000
1131550000.000000,20450000.000000
735000000.000000,1215900000.000000
400000.000000,1215900000.000000
905450000.000000,1158050000.000000
1131500000.000000,350000.000000
1131550000.000000,502450000.000000
450000.000000,1215850000.000000
400000.000000,1215850000.000000
1131500000.000000,300000.000000
1131500000.000000,31000000.000000
555750000.000000,1215900000.000000
450000.000000,1215850000.000000
1131500000.000000,961350000.000000
1131550000.000000,450000.000000
1131550000.000000,937950000.000000
7750000.000000,1216650000.000000
1350000.000000,1212200000.000000
1132650000.000000,1200000.000000
1132550000.000000,36600000.000000
477250000.000000,1216700000.000000
1350000.000000,1216700000.000000
1103800000.000000,1115600000.000000
1132550000.000000,1200000.000000
1132550000.000000,680950000.000000
1500000.000000,1216600000.000000
3400000.000000,1215850000.000000
1131500000.000000,350000.000000
1131550000.000000,22050000.000000
706550000.000000,1215800000.000000
400000.000000,1215850000.000000
1040300000.000000,1150050000.000000
1131500000.000000,350000.000000
1131500000.000000,818850000.000000
450000.000000,1215850000.000000
450000.000000,1215850000.000000
1131500000.000000,350000.000000
1131550000.000000,30000000.000000
573550000.000000,1215850000.000000
500000.000000,1215850000.000000
1131600000.000000,1018800000.000000
1131500000.000000,300000.000000
1131550000.000000,984750000.000000
550000.000000,1215900000.000000
35750000.000000,1210000000.000000
1131550000.000000,350000.000000
1131500000.000000,49150000.000000
252850000.000000,1215850000.000000
450000.000000,1215850000.000000
1131550000.000000,702450000.000000
1131550000.000000,350000.000000
1131500000.000000,1215850000.000000
400000.000000,1215900000.000000
342700000.000000,1191600000.000000
1131500000.000000,350000.000000
1131550000.000000,59400000.000000
79250000.000000,1215800000.000000
400000.000000,1215850000.000000
1131500000.000000,305700000.000000
1131500000.000000,350000.000000
1089800000.000000,1215900000.000000
450000.000000,1215850000.000000
568000000.000000,1178150000.000000
1131550000.000000,400000.000000
1131500000.000000,309800000.000000
500000.000000,1215850000.000000
400000.000000,1215800000.000000
1131600000.000000,28650000.000000
1131550000.000000,11950000.000000
873750000.000000,1215850000.000000
400000.000000,1215850000.000000
864700000.000000,1160300000.000000
1131550000.000000,400000.000000
1131550000.000000,488750000.000000
500000.000000,1215850000.000000
400000.000000,1215850000.000000
1131550000.000000,350000.000000
209750000.000000,1199650000.000000
1131550000.000000,350000.000000
1131550000.000000,52200000.000000
200250000.000000,1215850000.000000
450000.000000,1215850000.000000
1131550000.000000,701900000.000000
1131550000.000000,400000.000000
1131550000.000000,1146500000.000000
500000.000000,1215850000.000000
92950000.000000,1206550000.000000
1131550000.000000,450000.000000
1131600000.000000,45600000.000000
311200000.000000,1215850000.000000
