tx_throughput,rx_throughput
1019450000.000000,1215850000.000000
450000.000000,1215850000.000000
937500000.000000,1156100000.000000
1131500000.000000,400000.000000
1131550000.000000,781000000.000000
500000.000000,1215850000.000000
450000.000000,1212250000.000000
1131500000.000000,350000.000000
1131550000.000000,35750000.000000
474350000.000000,1215850000.000000
400000.000000,1215900000.000000
1131500000.000000,924850000.000000
1131550000.000000,350000.000000
1131500000.000000,1004500000.000000
550000.000000,1215800000.000000
140800000.000000,1203650000.000000
1131500000.000000,350000.000000
1131550000.000000,57750000.000000
107850000.000000,1215850000.000000
500000.000000,1215900000.000000
450000.000000,1215850000.000000
1131550000.000000,350000.000000
1131550000.000000,23400000.000000
682150000.000000,1215850000.000000
400000.000000,1215850000.000000
1058050000.000000,1148900000.000000
1131500000.000000,350000.000000
1131500000.000000,843250000.000000
450000.000000,1215850000.000000
88050000.000000,1206800000.000000
1131550000.000000,350000.000000
1131500000.000000,55950000.000000
136950000.000000,1215800000.000000
400000.000000,1215850000.000000
1131500000.000000,472100000.000000
1131500000.000000,450000.000000
1131500000.000000,1217400000.000000
7350000.000000,1216550000.000000
491600000.000000,1183600000.000000
1132650000.000000,1200000.000000
1132500000.000000,74100000.000000
1400000.000000,1216650000.000000
1300000.000000,1216600000.000000
1132500000.000000,339950000.000000
1132500000.000000,1100000.000000
1132500000.000000,1216600000.000000
1250000.000000,1216650000.000000
542350000.000000,1180050000.000000
1132450000.000000,400000.000000
1131550000.000000,529700000.000000
500000.000000,1215800000.000000
450000.000000,1215900000.000000
1131550000.000000,350000.000000
1131500000.000000,30700000.000000
560400000.000000,1215850000.000000
400000.000000,1215850000.000000
1131550000.000000,1100450000.000000
1131500000.000000,350000.000000
1131600000.000000,863050000.000000
450000.000000,1215850000.000000
102800000.000000,1205850000.000000
1131600000.000000,350000.000000
1131500000.000000,51300000.000000
214550000.000000,1215850000.000000
450000.000000,1215850000.000000
1131500000.000000,675600000.000000
1131500000.000000,350000.000000
1131500000.000000,1215850000.000000
400000.000000,1215850000.000000
530400000.000000,1180350000.000000
1131500000.000000,350000.000000
1131500000.000000,67900000.000000
450000.000000,507650000.000000
450000.000000,1215900000.000000
450000.000000,1215850000.000000
400000.000000,1215800000.000000
540150000.000000,1179850000.000000
1131450000.000000,350000.000000
1131450000.000000,153600000.000000
450000.000000,1215850000.000000
400000.000000,1215850000.000000
1131550000.000000,330750000.000000
1131500000.000000,5950000.000000
974550000.000000,1215850000.000000
450000.000000,1215850000.000000
829150000.000000,1162600000.000000
1131550000.000000,350000.000000
1131550000.000000,433650000.000000
500000.000000,1215850000.000000
400000.000000,1215850000.000000
1131550000.000000,26750000.000000
1131550000.000000,15400000.000000
815800000.000000,1215850000.000000
400000.000000,1215800000.000000
970700000.000000,1154050000.000000
1131500000.000000,350000.000000
1131500000.000000,693050000.000000
500000.000000,1215800000.000000
450000.000000,1215850000.000000
384700000.000000,1189000000.000000
1131500000.000000,350000.000000
1131500000.000000,190600000.000000
450000.000000,1215850000.000000
400000.000000,1215850000.000000
1131500000.000000,146300000.000000
1131550000.000000,15300000.000000
819650000.000000,1215850000.000000
400000.000000,1215850000.000000
894950000.000000,1158650000.000000
1131550000.000000,350000.000000
1131500000.000000,527900000.000000
500000.000000,1215850000.000000
400000.000000,1215800000.000000
1131500000.000000,350000.000000
1131500000.000000,26350000.000000
633400000.000000,1215850000.000000
450000.000000,1215850000.000000
1131500000.000000,1077500000.000000
1131500000.000000,350000.000000
1131500000.000000,734850000.000000
450000.000000,1215850000.000000
400000.000000,1215850000.000000
1131500000.000000,350000.000000
1131500000.000000,28000000.000000
605650000.000000,1215850000.000000
400000.000000,1215850000.000000
1010750000.000000,1151750000.000000
1131450000.000000,350000.000000
1131500000.000000,641250000.000000
450000.000000,1215850000.000000
450000.000000,1215850000.000000
1131450000.000000,350000.000000
1131500000.000000,32050000.000000
536300000.000000,1215900000.000000
450000.000000,1215850000.000000
1131500000.000000,1075300000.000000
1131500000.000000,350000.000000
1131500000.000000,684050000.000000
450000.000000,1215850000.000000
450000.000000,1215850000.000000
1131500000.000000,400000.000000
1131500000.000000,17850000.000000
775250000.000000,1215850000.000000
400000.000000,1215900000.000000
1009650000.000000,1151750000.000000
1131500000.000000,350000.000000
1131550000.000000,608550000.000000
500000.000000,1215850000.000000
400000.000000,1215800000.000000
1131500000.000000,350000.000000
1131500000.000000,36350000.000000
467600000.000000,1215900000.000000
450000.000000,1215850000.000000
1131550000.000000,984000000.000000
1131500000.000000,350000.000000
1131500000.000000,1067000000.000000
450000.000000,1215850000.000000
222550000.000000,1198750000.000000
1134950000.000000,4750000.000000
1132400000.000000,60000000.000000
83600000.000000,1216700000.000000
1750000.000000,1216550000.000000
1132400000.000000,569350000.000000
