tx_throughput,rx_throughput
135650000.000000,1182150000.000000
1216050000.000000,1182100000.000000
1270800000.000000,366950000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
450000.000000,1182100000.000000
1216000000.000000,1182150000.000000
1351000000.000000,400000.000000
135600000.000000,400000.000000
135550000.000000,1182100000.000000
1216000000.000000,1182150000.000000
1351000000.000000,350000.000000
1351050000.000000,450000.000000
135550000.000000,1182150000.000000
80950000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
450000.000000,1182100000.000000
1215900000.000000,1182150000.000000
1351000000.000000,350000.000000
1351000000.000000,400000.000000
135600000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1231200000.000000,721200000.000000
1351000000.000000,450000.000000
135600000.000000,1182150000.000000
450000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,400000.000000
1351050000.000000,400000.000000
135600000.000000,1182150000.000000
1216000000.000000,1182100000.000000
1270150000.000000,375300000.000000
1351000000.000000,450000.000000
135500000.000000,1182150000.000000
450000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1350950000.000000,400000.000000
497200000.000000,450000.000000
135600000.000000,1182200000.000000
1216000000.000000,1182150000.000000
1351050000.000000,400000.000000
1351050000.000000,450000.000000
135550000.000000,1182150000.000000
450000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351100000.000000,400000.000000
1297250000.000000,500000.000000
135600000.000000,1182150000.000000
1216050000.000000,1182150000.000000
1286000000.000000,237200000.000000
1351000000.000000,400000.000000
135550000.000000,1182150000.000000
450000.000000,1182100000.000000
1215950000.000000,1182150000.000000
1350950000.000000,400000.000000
554200000.000000,450000.000000
135550000.000000,1182100000.000000
1216000000.000000,1182100000.000000
1351050000.000000,350000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
450000.000000,1182150000.000000
1216000000.000000,1182100000.000000
1351000000.000000,350000.000000
135600000.000000,450000.000000
135600000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351000000.000000,350000.000000
1351050000.000000,400000.000000
135550000.000000,1182200000.000000
450000.000000,1182100000.000000
1216000000.000000,1182100000.000000
1351100000.000000,500000.000000
137450000.000000,6500000.000000
136500000.000000,1182950000.000000
1216800000.000000,1183000000.000000
1352350000.000000,1150000.000000
1351950000.000000,1300000.000000
136500000.000000,1183000000.000000
1400000.000000,1183000000.000000
1216900000.000000,1182900000.000000
1351900000.000000,1250000.000000
136350000.000000,1200000.000000
136600000.000000,1183000000.000000
1218050000.000000,1182900000.000000
1351050000.000000,400000.000000
1351000000.000000,400000.000000
135550000.000000,1182100000.000000
79850000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,450000.000000
135550000.000000,518750000.000000
37550000.000000,1182100000.000000
1216000000.000000,1182100000.000000
1351000000.000000,400000.000000
1351000000.000000,450000.000000
135550000.000000,1182150000.000000
437350000.000000,1182200000.000000
1215950000.000000,1182100000.000000
1351000000.000000,450000.000000
135600000.000000,1182150000.000000
450000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351050000.000000,400000.000000
1351050000.000000,450000.000000
135600000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1292700000.000000,180050000.000000
1351050000.000000,450000.000000
135600000.000000,1182100000.000000
400000.000000,1182150000.000000
1215950000.000000,1182100000.000000
1351000000.000000,400000.000000
672700000.000000,400000.000000
135600000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1341550000.000000,400000.000000
1351050000.000000,450000.000000
135600000.000000,1182150000.000000
500000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351100000.000000,450000.000000
135650000.000000,500000.000000
135600000.000000,1182200000.000000
1216000000.000000,1182150000.000000
1351050000.000000,350000.000000
1351050000.000000,450000.000000
135650000.000000,1182150000.000000
450000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351050000.000000,500000.000000
135600000.000000,736000000.000000
13250000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351050000.000000,350000.000000
1351050000.000000,500000.000000
135600000.000000,1182150000.000000
744500000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351050000.000000,500000.000000
135600000.000000,1182150000.000000
500000.000000,1182150000.000000
1216000000.000000,1182150000.000000
1351050000.000000,400000.000000
1351050000.000000,400000.000000
135500000.000000,1182200000.000000
1215950000.000000,1182100000.000000
1255650000.000000,500250000.000000
1351050000.000000,400000.000000
135550000.000000,1182150000.000000
450000.000000,1182200000.000000
1216000000.000000,1182150000.000000
1351050000.000000,400000.000000
1351050000.000000,450000.000000
135600000.000000,1182100000.000000
1215950000.000000,1182100000.000000
1329450000.000000,400000.000000
1351000000.000000,400000.000000
135600000.000000,1182100000.000000
450000.000000,1182150000.000000
1215950000.000000,1182100000.000000
