tx_throughput,rx_throughput
450000.000000,133800000.000000
152900000.000000,400000.000000
152900000.000000,350000.000000
152900000.000000,133800000.000000
450000.000000,133800000.000000
400000.000000,133750000.000000
152850000.000000,400000.000000
152850000.000000,400000.000000
15700000.000000,133750000.000000
450000.000000,133800000.000000
152850000.000000,350000.000000
152850000.000000,400000.000000
152850000.000000,133750000.000000
450000.000000,133750000.000000
400000.000000,133800000.000000
152900000.000000,400000.000000
152850000.000000,133750000.000000
450000.000000,133800000.000000
400000.000000,133800000.000000
152900000.000000,350000.000000
152900000.000000,400000.000000
152850000.000000,133800000.000000
450000.000000,133800000.000000
137650000.000000,133800000.000000
152900000.000000,400000.000000
152850000.000000,133700000.000000
450000.000000,133750000.000000
450000.000000,133800000.000000
152900000.000000,350000.000000
152900000.000000,400000.000000
152900000.000000,133750000.000000
400000.000000,133800000.000000
137600000.000000,133750000.000000
152900000.000000,350000.000000
152900000.000000,133800000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
152900000.000000,400000.000000
152900000.000000,400000.000000
152900000.000000,133750000.000000
450000.000000,133800000.000000
137600000.000000,133750000.000000
152900000.000000,350000.000000
152900000.000000,350000.000000
152850000.000000,133750000.000000
450000.000000,133750000.000000
500000.000000,133800000.000000
152900000.000000,350000.000000
152900000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
152850000.000000,350000.000000
152850000.000000,400000.000000
152850000.000000,133800000.000000
450000.000000,133800000.000000
137600000.000000,133750000.000000
152900000.000000,350000.000000
152850000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
152950000.000000,400000.000000
152900000.000000,450000.000000
15800000.000000,133800000.000000
400000.000000,133750000.000000
152900000.000000,400000.000000
152850000.000000,350000.000000
152850000.000000,133750000.000000
400000.000000,133750000.000000
400000.000000,133750000.000000
152950000.000000,350000.000000
152950000.000000,133800000.000000
2100000.000000,139750000.000000
1400000.000000,134600000.000000
153850000.000000,1150000.000000
154150000.000000,1200000.000000
153800000.000000,134550000.000000
1300000.000000,134550000.000000
1350000.000000,134550000.000000
153850000.000000,1100000.000000
153800000.000000,134650000.000000
1300000.000000,134500000.000000
900000.000000,133800000.000000
155500000.000000,400000.000000
152900000.000000,400000.000000
152850000.000000,133700000.000000
450000.000000,133800000.000000
137600000.000000,133750000.000000
152850000.000000,350000.000000
152900000.000000,133750000.000000
450000.000000,133700000.000000
450000.000000,133750000.000000
152850000.000000,350000.000000
152900000.000000,400000.000000
15700000.000000,133800000.000000
450000.000000,133750000.000000
152900000.000000,400000.000000
152900000.000000,350000.000000
152850000.000000,133750000.000000
400000.000000,133750000.000000
95150000.000000,133750000.000000
152850000.000000,300000.000000
152900000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
152850000.000000,350000.000000
152900000.000000,350000.000000
152900000.000000,133750000.000000
450000.000000,133750000.000000
137600000.000000,133750000.000000
152900000.000000,350000.000000
152800000.000000,133750000.000000
400000.000000,133700000.000000
450000.000000,133750000.000000
152850000.000000,350000.000000
152850000.000000,400000.000000
152850000.000000,133800000.000000
450000.000000,133750000.000000
137700000.000000,133750000.000000
152900000.000000,400000.000000
152950000.000000,133850000.000000
450000.000000,133800000.000000
450000.000000,133750000.000000
152950000.000000,400000.000000
152900000.000000,400000.000000
152900000.000000,133800000.000000
450000.000000,133750000.000000
137650000.000000,133800000.000000
152950000.000000,400000.000000
152900000.000000,133750000.000000
500000.000000,133750000.000000
450000.000000,133750000.000000
152900000.000000,400000.000000
152900000.000000,350000.000000
152900000.000000,133750000.000000
450000.000000,133800000.000000
137650000.000000,133750000.000000
152900000.000000,400000.000000
152900000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133800000.000000
152900000.000000,400000.000000
152900000.000000,400000.000000
152900000.000000,133750000.000000
500000.000000,133750000.000000
137700000.000000,133800000.000000
152900000.000000,400000.000000
152850000.000000,133750000.000000
450000.000000,133800000.000000
450000.000000,133800000.000000
152850000.000000,350000.000000
152950000.000000,400000.000000
152850000.000000,133750000.000000
450000.000000,133750000.000000
152850000.000000,350000.000000
152850000.000000,350000.000000
152850000.000000,133750000.000000
400000.000000,133750000.000000
400000.000000,133700000.000000
152850000.000000,350000.000000
152850000.000000,450000.000000
15700000.000000,133750000.000000
400000.000000,133750000.000000
152850000.000000,350000.000000
