tx_throughput,rx_throughput
25200000.000000,297600000.000000
450000.000000,297600000.000000
35000000.000000,300000.000000
35000000.000000,350000.000000
34950000.000000,297650000.000000
400000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,350000.000000
34950000.000000,225500000.000000
4700000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,300000.000000
35000000.000000,350000.000000
35000000.000000,297650000.000000
400000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,350000.000000
34950000.000000,223750000.000000
5900000.000000,297650000.000000
400000.000000,297600000.000000
34950000.000000,350000.000000
34950000.000000,300000.000000
35000000.000000,297650000.000000
450000.000000,297700000.000000
3550000.000000,301850000.000000
35800000.000000,1100000.000000
35800000.000000,187500000.000000
9950000.000000,298350000.000000
1200000.000000,298300000.000000
35850000.000000,1000000.000000
35850000.000000,1050000.000000
35850000.000000,298300000.000000
1250000.000000,298350000.000000
1200000.000000,298350000.000000
35900000.000000,2650000.000000
35050000.000000,14400000.000000
27000000.000000,297600000.000000
400000.000000,297650000.000000
34950000.000000,350000.000000
34950000.000000,350000.000000
34950000.000000,300000.000000
34950000.000000,297600000.000000
400000.000000,297600000.000000
5100000.000000,204400000.000000
35000000.000000,350000.000000
35000000.000000,297600000.000000
400000.000000,297650000.000000
400000.000000,297650000.000000
35000000.000000,350000.000000
35000000.000000,350000.000000
34950000.000000,297600000.000000
400000.000000,297650000.000000
11000000.000000,172750000.000000
34950000.000000,300000.000000
35000000.000000,297650000.000000
400000.000000,297650000.000000
400000.000000,297600000.000000
34950000.000000,350000.000000
34950000.000000,300000.000000
35000000.000000,297650000.000000
350000.000000,297650000.000000
13450000.000000,160450000.000000
35000000.000000,350000.000000
34950000.000000,297600000.000000
450000.000000,297600000.000000
400000.000000,297650000.000000
400000.000000,297650000.000000
34950000.000000,350000.000000
34950000.000000,46750000.000000
23200000.000000,297650000.000000
400000.000000,297650000.000000
34950000.000000,350000.000000
35000000.000000,400000.000000
35000000.000000,297600000.000000
350000.000000,297600000.000000
400000.000000,297650000.000000
34950000.000000,300000.000000
34950000.000000,79700000.000000
21650000.000000,297650000.000000
400000.000000,297650000.000000
35000000.000000,350000.000000
35000000.000000,300000.000000
34950000.000000,297600000.000000
400000.000000,297650000.000000
400000.000000,297600000.000000
34950000.000000,350000.000000
34950000.000000,181550000.000000
9000000.000000,297650000.000000
400000.000000,297600000.000000
35000000.000000,350000.000000
34950000.000000,300000.000000
35000000.000000,297650000.000000
400000.000000,297650000.000000
400000.000000,297600000.000000
35000000.000000,350000.000000
35000000.000000,146350000.000000
13150000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,350000.000000
35000000.000000,350000.000000
35000000.000000,297650000.000000
400000.000000,297700000.000000
400000.000000,297650000.000000
35050000.000000,400000.000000
35000000.000000,86550000.000000
21900000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,400000.000000
35000000.000000,350000.000000
35000000.000000,297650000.000000
400000.000000,297650000.000000
400000.000000,297650000.000000
35000000.000000,350000.000000
35050000.000000,23250000.000000
28250000.000000,297650000.000000
400000.000000,297650000.000000
35000000.000000,350000.000000
35000000.000000,350000.000000
35000000.000000,297650000.000000
450000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,400000.000000
35000000.000000,350000.000000
35000000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,300000.000000
35000000.000000,350000.000000
35050000.000000,297650000.000000
400000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,350000.000000
35050000.000000,350000.000000
35000000.000000,297650000.000000
450000.000000,297650000.000000
35000000.000000,350000.000000
35000000.000000,300000.000000
35000000.000000,297650000.000000
400000.000000,297600000.000000
400000.000000,297650000.000000
35000000.000000,350000.000000
34950000.000000,350000.000000
35000000.000000,65400000.000000
23300000.000000,297650000.000000
400000.000000,297650000.000000
35000000.000000,300000.000000
35000000.000000,350000.000000
35050000.000000,300100000.000000
5900000.000000,298300000.000000
1250000.000000,298350000.000000
35750000.000000,1050000.000000
35750000.000000,212100000.000000
7300000.000000,298400000.000000
1200000.000000,298350000.000000
35800000.000000,1150000.000000
35800000.000000,1050000.000000
35950000.000000,298350000.000000
1250000.000000,298450000.000000
3200000.000000,297650000.000000
35000000.000000,350000.000000
34950000.000000,130850000.000000
14950000.000000,297650000.000000
400000.000000,297650000.000000
35000000.000000,350000.000000
34950000.000000,350000.000000
