tx_throughput,rx_throughput
129400000.000000,1188100000.000000
400000.000000,1188100000.000000
65650000.000000,609400000.000000
138400000.000000,350000.000000
138400000.000000,987150000.000000
20750000.000000,1188050000.000000
350000.000000,1188100000.000000
138450000.000000,350000.000000
138450000.000000,225600000.000000
109800000.000000,1188100000.000000
400000.000000,1188100000.000000
75250000.000000,512650000.000000
138400000.000000,350000.000000
138400000.000000,1050450000.000000
10750000.000000,1188100000.000000
400000.000000,1188100000.000000
138400000.000000,350000.000000
138400000.000000,146350000.000000
116300000.000000,1188100000.000000
450000.000000,1188050000.000000
66250000.000000,577750000.000000
138400000.000000,400000.000000
138450000.000000,992350000.000000
20750000.000000,1188050000.000000
400000.000000,1188100000.000000
138400000.000000,350000.000000
138400000.000000,141150000.000000
116750000.000000,1188100000.000000
400000.000000,1188050000.000000
65850000.000000,604150000.000000
138400000.000000,350000.000000
138400000.000000,925550000.000000
27500000.000000,1188150000.000000
450000.000000,1188100000.000000
138400000.000000,350000.000000
138400000.000000,88950000.000000
125350000.000000,1188100000.000000
400000.000000,1188100000.000000
52750000.000000,699150000.000000
138450000.000000,350000.000000
138400000.000000,848150000.000000
34450000.000000,1188100000.000000
400000.000000,1188050000.000000
138400000.000000,350000.000000
138400000.000000,350000.000000
138400000.000000,1188050000.000000
450000.000000,1188050000.000000
450000.000000,1188100000.000000
76250000.000000,512650000.000000
138400000.000000,350000.000000
138350000.000000,1039850000.000000
12350000.000000,1188050000.000000
400000.000000,1188050000.000000
138350000.000000,350000.000000
138450000.000000,234350000.000000
106150000.000000,1188050000.000000
400000.000000,1188100000.000000
66700000.000000,546450000.000000
142100000.000000,1100000.000000
139300000.000000,1072200000.000000
9750000.000000,1188750000.000000
1200000.000000,1188800000.000000
139150000.000000,1050000.000000
139150000.000000,296550000.000000
100100000.000000,1188800000.000000
1200000.000000,1188800000.000000
87700000.000000,400900000.000000
139200000.000000,1050000.000000
141300000.000000,1134900000.000000
1300000.000000,1188000000.000000
400000.000000,1188050000.000000
138400000.000000,350000.000000
138400000.000000,271550000.000000
101400000.000000,1188050000.000000
400000.000000,1188100000.000000
55200000.000000,1188050000.000000
400000.000000,1188000000.000000
131150000.000000,29000000.000000
138400000.000000,350000.000000
138350000.000000,1188050000.000000
400000.000000,1188050000.000000
37450000.000000,815200000.000000
138350000.000000,400000.000000
138400000.000000,758450000.000000
46850000.000000,1188100000.000000
400000.000000,1188050000.000000
138400000.000000,350000.000000
138350000.000000,350000.000000
138400000.000000,1188050000.000000
450000.000000,1188050000.000000
45350000.000000,754450000.000000
138400000.000000,350000.000000
138400000.000000,827050000.000000
36900000.000000,1188050000.000000
400000.000000,1188000000.000000
138350000.000000,300000.000000
138400000.000000,8950000.000000
133050000.000000,1188050000.000000
400000.000000,1188050000.000000
52300000.000000,721950000.000000
138400000.000000,350000.000000
138400000.000000,900950000.000000
31350000.000000,1188050000.000000
400000.000000,1188050000.000000
138350000.000000,350000.000000
138350000.000000,77800000.000000
125350000.000000,1188050000.000000
400000.000000,1188050000.000000
58000000.000000,648100000.000000
138500000.000000,300000.000000
138350000.000000,937850000.000000
24000000.000000,1188050000.000000
350000.000000,1188100000.000000
138400000.000000,300000.000000
138350000.000000,125300000.000000
118550000.000000,1188050000.000000
400000.000000,1188000000.000000
65800000.000000,598800000.000000
138350000.000000,350000.000000
138350000.000000,1009950000.000000
18950000.000000,1188050000.000000
400000.000000,1188050000.000000
138400000.000000,350000.000000
138450000.000000,350000.000000
138400000.000000,675800000.000000
57500000.000000,1188050000.000000
400000.000000,1188050000.000000
128350000.000000,55350000.000000
138350000.000000,350000.000000
138400000.000000,1188050000.000000
450000.000000,1188100000.000000
35800000.000000,850350000.000000
138400000.000000,350000.000000
138350000.000000,763750000.000000
46850000.000000,1188000000.000000
350000.000000,1188050000.000000
138400000.000000,350000.000000
138400000.000000,350000.000000
137550000.000000,1188050000.000000
350000.000000,1188050000.000000
51700000.000000,726650000.000000
138400000.000000,350000.000000
138400000.000000,856950000.000000
33800000.000000,1188100000.000000
400000.000000,1188100000.000000
138400000.000000,350000.000000
138400000.000000,37300000.000000
129450000.000000,1188050000.000000
450000.000000,1188100000.000000
450000.000000,1188050000.000000
85000000.000000,412400000.000000
138400000.000000,350000.000000
138400000.000000,1188050000.000000
350000.000000,1188050000.000000
350000.000000,1188150000.000000
138400000.000000,350000.000000
138450000.000000,384750000.000000
88500000.000000,1188050000.000000
400000.000000,1188050000.000000
98900000.000000,292750000.000000
138400000.000000,350000.000000
138400000.000000,1188050000.000000
450000.000000,1188050000.000000
