tx_throughput,rx_throughput
400000.000000,133700000.000000
450000.000000,133750000.000000
15700000.000000,350000.000000
15700000.000000,350000.000000
15700000.000000,133700000.000000
400000.000000,133750000.000000
450000.000000,133800000.000000
15800000.000000,400000.000000
15700000.000000,133750000.000000
450000.000000,133700000.000000
450000.000000,133750000.000000
15750000.000000,350000.000000
15700000.000000,350000.000000
15750000.000000,133750000.000000
450000.000000,133700000.000000
15700000.000000,400000.000000
15800000.000000,350000.000000
15750000.000000,133700000.000000
400000.000000,133750000.000000
400000.000000,133750000.000000
15650000.000000,350000.000000
15750000.000000,400000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133700000.000000
15700000.000000,400000.000000
15700000.000000,133750000.000000
400000.000000,133750000.000000
450000.000000,133700000.000000
15700000.000000,350000.000000
15700000.000000,400000.000000
18750000.000000,137850000.000000
1300000.000000,134500000.000000
16650000.000000,1100000.000000
16900000.000000,1100000.000000
16550000.000000,134450000.000000
1250000.000000,134500000.000000
1300000.000000,134450000.000000
16550000.000000,1050000.000000
16500000.000000,1100000.000000
16600000.000000,134500000.000000
1250000.000000,136100000.000000
15750000.000000,400000.000000
15700000.000000,350000.000000
15700000.000000,133750000.000000
450000.000000,133700000.000000
450000.000000,133750000.000000
15700000.000000,350000.000000
15700000.000000,350000.000000
15700000.000000,133700000.000000
450000.000000,133750000.000000
15750000.000000,350000.000000
15700000.000000,400000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
500000.000000,133750000.000000
15750000.000000,350000.000000
15650000.000000,350000.000000
15700000.000000,133750000.000000
400000.000000,133700000.000000
15700000.000000,350000.000000
15700000.000000,350000.000000
15700000.000000,133700000.000000
400000.000000,133700000.000000
450000.000000,133700000.000000
15700000.000000,300000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
15750000.000000,400000.000000
15700000.000000,450000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
400000.000000,133700000.000000
15700000.000000,350000.000000
15700000.000000,300000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
15650000.000000,350000.000000
15700000.000000,400000.000000
15750000.000000,133750000.000000
400000.000000,133700000.000000
450000.000000,133750000.000000
15750000.000000,350000.000000
15750000.000000,133700000.000000
450000.000000,400000.000000
15700000.000000,133750000.000000
400000.000000,133750000.000000
450000.000000,133750000.000000
15700000.000000,400000.000000
15700000.000000,350000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
15700000.000000,350000.000000
15750000.000000,350000.000000
15750000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
15700000.000000,350000.000000
15700000.000000,350000.000000
15700000.000000,133750000.000000
400000.000000,133700000.000000
15700000.000000,350000.000000
15700000.000000,400000.000000
15700000.000000,133700000.000000
400000.000000,133700000.000000
400000.000000,133750000.000000
15700000.000000,350000.000000
15750000.000000,350000.000000
15650000.000000,133750000.000000
350000.000000,133750000.000000
15650000.000000,350000.000000
15750000.000000,400000.000000
15750000.000000,133750000.000000
450000.000000,133700000.000000
450000.000000,133700000.000000
15700000.000000,350000.000000
15650000.000000,350000.000000
15750000.000000,133750000.000000
400000.000000,133700000.000000
15650000.000000,350000.000000
15750000.000000,400000.000000
15750000.000000,350000.000000
15750000.000000,133700000.000000
450000.000000,133750000.000000
450000.000000,133700000.000000
15700000.000000,350000.000000
15650000.000000,133750000.000000
500000.000000,133750000.000000
450000.000000,133750000.000000
15750000.000000,400000.000000
15700000.000000,400000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
400000.000000,133700000.000000
15650000.000000,400000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
15700000.000000,350000.000000
15700000.000000,350000.000000
15700000.000000,133750000.000000
450000.000000,133750000.000000
15700000.000000,400000.000000
15750000.000000,400000.000000
15750000.000000,134150000.000000
450000.000000,133750000.000000
450000.000000,133750000.000000
450000.000000,133700000.000000
15700000.000000,400000.000000
15750000.000000,400000.000000
15700000.000000,133750000.000000
500000.000000,136300000.000000
21200000.000000,1100000.000000
16550000.000000,1150000.000000
16600000.000000,134600000.000000
1300000.000000,134500000.000000
1350000.000000,134500000.000000
16650000.000000,1100000.000000
16650000.000000,1150000.000000
16600000.000000,134500000.000000
1300000.000000,134450000.000000
16650000.000000,1150000.000000
