tx_throughput,rx_throughput
450000.000000,129850000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
400000.000000,400000.000000
500000.000000,400000.000000
400000.000000,129850000.000000
400000.000000,129850000.000000
450000.000000,350000.000000
400000.000000,400000.000000
500000.000000,129850000.000000
450000.000000,129850000.000000
450000.000000,129900000.000000
500000.000000,400000.000000
450000.000000,400000.000000
400000.000000,129950000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
500000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
400000.000000,129900000.000000
400000.000000,400000.000000
400000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
400000.000000,350000.000000
400000.000000,129900000.000000
400000.000000,129900000.000000
450000.000000,129950000.000000
450000.000000,400000.000000
500000.000000,400000.000000
450000.000000,129950000.000000
500000.000000,129900000.000000
450000.000000,400000.000000
500000.000000,400000.000000
500000.000000,129950000.000000
450000.000000,129900000.000000
450000.000000,129950000.000000
500000.000000,400000.000000
500000.000000,400000.000000
450000.000000,129900000.000000
500000.000000,129900000.000000
450000.000000,82300000.000000
450000.000000,350000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
400000.000000,129900000.000000
500000.000000,400000.000000
500000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
400000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,400000.000000
450000.000000,129900000.000000
400000.000000,129900000.000000
400000.000000,129850000.000000
450000.000000,350000.000000
450000.000000,129850000.000000
450000.000000,129850000.000000
400000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,400000.000000
400000.000000,129900000.000000
400000.000000,129850000.000000
450000.000000,129850000.000000
400000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
400000.000000,129850000.000000
400000.000000,350000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
400000.000000,129900000.000000
450000.000000,350000.000000
400000.000000,129850000.000000
450000.000000,129850000.000000
400000.000000,129900000.000000
400000.000000,350000.000000
400000.000000,350000.000000
450000.000000,129850000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
400000.000000,400000.000000
450000.000000,114650000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
450000.000000,3150000.000000
6000000.000000,1100000.000000
1350000.000000,130650000.000000
1400000.000000,130700000.000000
1300000.000000,130700000.000000
1300000.000000,36800000.000000
1350000.000000,1050000.000000
1400000.000000,130650000.000000
1350000.000000,130700000.000000
1350000.000000,130700000.000000
1350000.000000,1150000.000000
3300000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
400000.000000,129900000.000000
500000.000000,350000.000000
400000.000000,350000.000000
500000.000000,129900000.000000
400000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,450000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
500000.000000,129900000.000000
400000.000000,350000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,63300000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
500000.000000,400000.000000
450000.000000,129850000.000000
400000.000000,129850000.000000
400000.000000,74750000.000000
400000.000000,350000.000000
450000.000000,129850000.000000
450000.000000,129900000.000000
400000.000000,129850000.000000
500000.000000,400000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
500000.000000,129950000.000000
450000.000000,350000.000000
400000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
450000.000000,400000.000000
450000.000000,350000.000000
400000.000000,129850000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,350000.000000
450000.000000,350000.000000
