tx_throughput,rx_throughput
400000.000000,129850000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
400000.000000,350000.000000
450000.000000,129900000.000000
400000.000000,129900000.000000
400000.000000,129900000.000000
400000.000000,350000.000000
400000.000000,129850000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
400000.000000,350000.000000
450000.000000,350000.000000
400000.000000,129900000.000000
450000.000000,129850000.000000
400000.000000,129850000.000000
450000.000000,350000.000000
500000.000000,129900000.000000
450000.000000,129850000.000000
400000.000000,129900000.000000
400000.000000,350000.000000
450000.000000,350000.000000
400000.000000,129850000.000000
400000.000000,129850000.000000
400000.000000,129900000.000000
400000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
450000.000000,129850000.000000
450000.000000,400000.000000
450000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,9050000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
400000.000000,400000.000000
400000.000000,129950000.000000
2000000.000000,135500000.000000
1400000.000000,130700000.000000
1400000.000000,1200000.000000
1800000.000000,1200000.000000
1250000.000000,130700000.000000
1350000.000000,130650000.000000
1400000.000000,130550000.000000
1400000.000000,1150000.000000
1350000.000000,1150000.000000
1250000.000000,130650000.000000
1300000.000000,132250000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,129900000.000000
400000.000000,129950000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
400000.000000,129900000.000000
400000.000000,129900000.000000
500000.000000,129900000.000000
400000.000000,400000.000000
450000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
400000.000000,59250000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,130000000.000000
450000.000000,400000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,400000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
400000.000000,129900000.000000
500000.000000,350000.000000
450000.000000,350000.000000
400000.000000,129850000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,350000.000000
500000.000000,129850000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
450000.000000,400000.000000
450000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
450000.000000,129900000.000000
400000.000000,400000.000000
500000.000000,350000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,400000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
500000.000000,129900000.000000
450000.000000,350000.000000
400000.000000,48450000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,350000.000000
450000.000000,129850000.000000
450000.000000,129900000.000000
450000.000000,129850000.000000
450000.000000,400000.000000
450000.000000,37650000.000000
450000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,400000.000000
450000.000000,350000.000000
400000.000000,129850000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,350000.000000
450000.000000,350000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
450000.000000,14800000.000000
450000.000000,350000.000000
450000.000000,129850000.000000
400000.000000,129900000.000000
450000.000000,129900000.000000
500000.000000,400000.000000
450000.000000,400000.000000
400000.000000,129850000.000000
450000.000000,129900000.000000
400000.000000,69950000.000000
450000.000000,350000.000000
400000.000000,400000.000000
