Timers,TxTime,RxTime
1686754,1756318389012639472,1756318389013483542
1684596,1756318389046031825,1756318389046872318
1684139,1756318389079445947,1756318389080287015
1683673,1756318389112858791,1756318389113702785
1684288,1756318389146270466,1756318389147111007
1686588,1756318389179678264,1756318389180521663
1684658,1756318389213089195,1756318389213935079
1686543,1756318389246496244,1756318389247339458
1686914,1756318389279912469,1756318389280756182
1682482,1756318389313321993,1756318389314164862
1685680,1756318389346726808,1756318389347570622
1685404,1756318389380136209,1756318389380978381
1688404,1756318389413549782,1756318389414396543
1686065,1756318389446957873,1756318389447802849
1687223,1756318389480372103,1756318389481215852
1684484,1756318389513779053,1756318389514623387
1683871,1756318389547184539,1756318389548026143
1684761,1756318389580596474,1756318389581439719
1686960,1756318389614009169,1756318389614854221
1681906,1756318389647416344,1756318389648257472
1682924,1756318389680822402,1756318389681662192
1686062,1756318389714218853,1756318389715060121
1681697,1756318389747627652,1756318389748468878
1685265,1756318389781036397,1756318389781879599
1682213,1756318389814448989,1756318389815288125
1682882,1756318389847855456,1756318389848697188
1688196,1756318389881260465,1756318389882108811
1681546,1756318389914654710,1756318389915493703
1691727,1756318389948047857,1756318389948893740
1688359,1756318389981448037,1756318389982294295
1687681,1756318390014846261,1756318390015689049
1678579,1756318390048242529,1756318390049078534
1685162,1756318390081638827,1756318390082484375
1683024,1756318390115036009,1756318390115877788
1679452,1756318390148431055,1756318390149268423
1690372,1756318390181837870,1756318390182685074
1682640,1756318390215249566,1756318390216093036
1685119,1756318390248656680,1756318390249497867
1682508,1756318390282068524,1756318390282909776
1689185,1756318390315481573,1756318390316329200
1682062,1756318390348876416,1756318390349715678
1686768,1756318390382291094,1756318390383136240
1685912,1756318390415703488,1756318390416547828
1686834,1756318390449110611,1756318390449953555
1687756,1756318390482523584,1756318390483368910
1682746,1756318390515932504,1756318390516775272
1684235,1756318390549338074,1756318390550179845
1686936,1756318390582749686,1756318390583594780
1689060,1756318390616162462,1756318390617008465
1687465,1756318390649570964,1756318390650415318
1683474,1756318390682969487,1756318390683811312
1688113,1756318390716373103,1756318390717219985
1685360,1756318390749788634,1756318390750632237
1687879,1756318390783210000,1756318390784056945
1685317,1756318390816628082,1756318390817472304
1690198,1756318390850045637,1756318390850893374
1684377,1756318390883448305,1756318390884290227
1682901,1756318390916862147,1756318390917704910
1680115,1756318390950280870,1756318390951121442
1683289,1756318390983696104,1756318390984537446
1690319,1756318391017111290,1756318391017957529
1683437,1756318391050533135,1756318391051377225
1693652,1756318391083946448,1756318391084798446
1686566,1756318391117359340,1756318391118202088
1685259,1756318391150771748,1756318391151613054
1689716,1756318391184184336,1756318391185030476
1684991,1756318391217596529,1756318391218440026
1683945,1756318391251004357,1756318391251846773
1689043,1756318391284414945,1756318391285260204
1687794,1756318391317826615,1756318391318671344
1685165,1756318391351239215,1756318391352081830
1690329,1756318391384650409,1756318391385498573
1688664,1756318391418058233,1756318391418904363
1688965,1756318391451466314,1756318391452308304
1683657,1756318391484878051,1756318391485720490
1689457,1756318391518281677,1756318391519128999
1684779,1756318391551678230,1756318391552520454
1682593,1756318391585090101,1756318391585932691
1686713,1756318391618500878,1756318391619346272
1686420,1756318391651914562,1756318391652756690
1685061,1756318391685327536,1756318391686170734
1683577,1756318391718739069,1756318391719584424
1685024,1756318391752153689,1756318391752994949
1682377,1756318391785553514,1756318391786396245
1687206,1756318391818963272,1756318391819809580
1686395,1756318391852371642,1756318391853216284
1690338,1756318391885771934,1756318391886620456
1684409,1756318391919178814,1756318391920020077
1680561,1756318391952571331,1756318391953413423
1688356,1756318391985985115,1756318391986829306
1680881,1756318392019381949,1756318392020222644
1683773,1756318392052789517,1756318392053633185
1691462,1756318392086202226,1756318392087048008
1684412,1756318392119616077,1756318392120459387
1684351,1756318392153030425,1756318392153874603
1693631,1756318392186422573,1756318392187269813
1686958,1756318392219822046,1756318392220667116
1683559,1756318392253219017,1756318392254062272
1683962,1756318392286615134,1756318392287455292
1684527,1756318392320008186,1756318392320851494
1681495,1756318392353404393,1756318392354242656
1686177,1756318392386800854,1756318392387642299
1687264,1756318392420200736,1756318392421043723
1681684,1756318392453613381,1756318392454453018
1685837,1756318392487026756,1756318392487870825
1683614,1756318392520429082,1756318392521270827
1681641,1756318392553841394,1756318392554681547
1688951,1756318392587253777,1756318392588100466
1685906,1756318392620665947,1756318392621507753
1686179,1756318392654078544,1756318392654921107
1686729,1756318392687493028,1756318392688338456
1687118,1756318392720910199,1756318392721754961
1683994,1756318392754320746,1756318392755161204
1683949,1756318392787729803,1756318392788571249
1686957,1756318392821139070,1756318392821983090
1684872,1756318392854546630,1756318392855387101
1679777,1756318392887959082,1756318392888800064
1680961,1756318392921371331,1756318392922214824
1686289,1756318392954784961,1756318392955628937
1687295,1756318392988196085,1756318392989043275
1685813,1756318393021609551,1756318393022455016
1686332,1756318393055023769,1756318393055865979
1693646,1756318393088420561,1756318393089267492
1685275,1756318393121813142,1756318393122657128
1685864,1756318393155211784,1756318393156053218
1685616,1756318393188620927,1756318393189463677
1685952,1756318393222029821,1756318393222873245
1683991,1756318393255438027,1756318393256280260
1684532,1756318393288848260,1756318393289691500
1682996,1756318393322242392,1756318393323085794
1684012,1756318393355656044,1756318393356499502
1684373,1756318393389068526,1756318393389912049
1681963,1756318393422480793,1756318393423322261
1684525,1756318393455900274,1756318393456742221
1687307,1756318393489314026,1756318393490159831
1684395,1756318393522717153,1756318393523558862
1687952,1756318393556124047,1756318393556968531
1680371,1756318393589533293,1756318393590373637
