Timers,TxTime,RxTime
778490,1756318327422388740,1756318327422778629
774890,1756318327455782640,1756318327456170805
785645,1756318327489175218,1756318327489563822
777458,1756318327522569319,1756318327522958665
773322,1756318327555960363,1756318327556347498
772432,1756318327589353538,1756318327589740787
773720,1756318327622767905,1756318327623156123
777099,1756318327656181422,1756318327656568593
773019,1756318327689575377,1756318327689962545
773772,1756318327722987850,1756318327723374552
776254,1756318327756386060,1756318327756773497
774357,1756318327789778177,1756318327790165733
773780,1756318327823187462,1756318327823574696
773549,1756318327856600525,1756318327856988270
774174,1756318327889997225,1756318327890384236
773062,1756318327923395038,1756318327923782480
772509,1756318327956805560,1756318327957191985
800695,1756318327990198367,1756318327990586212
776439,1756318328023609679,1756318328023998679
773985,1756318328057003728,1756318328057391944
773066,1756318328090397040,1756318328090784193
774807,1756318328123807508,1756318328124195546
775580,1756318328157219043,1756318328157605576
773623,1756318328190611602,1756318328190997370
773487,1756318328224024812,1756318328224411565
772799,1756318328257438140,1756318328257825403
773166,1756318328290830823,1756318328291217290
772822,1756318328324222233,1756318328324609489
775576,1756318328357633714,1756318328358022462
773709,1756318328391027902,1756318328391415301
774580,1756318328424433959,1756318328424821580
775459,1756318328457843697,1756318328458232134
773190,1756318328491241595,1756318328491628557
774353,1756318328524653034,1756318328525041086
775018,1756318328558046859,1756318328558435020
774557,1756318328591439547,1756318328591828160
773890,1756318328624850623,1756318328625238779
773736,1756318328658261564,1756318328658649244
775052,1756318328691653641,1756318328692040530
772481,1756318328725065751,1756318328725454167
773372,1756318328758475703,1756318328758862298
773073,1756318328791869227,1756318328792256394
774297,1756318328825280404,1756318328825668801
774584,1756318328858691291,1756318328859078641
771718,1756318328892087902,1756318328892474581
772620,1756318328925501163,1756318328925887329
774174,1756318328958912469,1756318328959299906
775030,1756318328992307081,1756318328992694954
773579,1756318329025702268,1756318329026089785
773217,1756318329059100791,1756318329059488846
773625,1756318329092515566,1756318329092902507
769770,1756318329125908955,1756318329126293815
770107,1756318329159301570,1756318329159686460
769992,1756318329192694284,1756318329193079251
772739,1756318329226093320,1756318329226479422
774258,1756318329259495741,1756318329259883784
773280,1756318329292891275,1756318329293278631
771974,1756318329326293929,1756318329326679732
774327,1756318329359707573,1756318329360096767
779644,1756318329393103678,1756318329393490958
772959,1756318329426506438,1756318329426893652
772933,1756318329459920866,1756318329460308248
774862,1756318329493316520,1756318329493704593
773934,1756318329526731621,1756318329527119902
773669,1756318329560134747,1756318329560522495
774420,1756318329593537427,1756318329593925619
772175,1756318329626960332,1756318329627346864
775080,1756318329660362384,1756318329660751496
775057,1756318329693755432,1756318329694143893
774155,1756318329727158005,1756318329727546403
773668,1756318329760560346,1756318329760948350
775235,1756318329793955435,1756318329794343830
772737,1756318329827357698,1756318329827745431
775000,1756318329860753942,1756318329861142464
775245,1756318329894148303,1756318329894536731
775120,1756318329927549895,1756318329927938232
773804,1756318329960965470,1756318329961353991
