Timers,TxTime,RxTime
963602,1756307187988472642,1756307187993967702
1003642,1756307188028520079,1756307188034047062
993542,1756307188068611395,1756307188074124852
979821,1756307188108691940,1756307188114192640
988741,1756307188148981939,1756307188154498440
977392,1756307188189279407,1756307188194780790
965301,1756307188229355903,1756307188234848827
974702,1756307188269654041,1756307188275153733
986543,1756307188309752827,1756307188315253894
927602,1756307188349848612,1756307188355312270
973302,1756307188390146062,1756307188395645795
973861,1756307188430224778,1756307188435725350
974732,1756307188470533917,1756307188476040821
963892,1756307188510610801,1756307188516107815
989652,1756307188550931941,1756307188556446884
979581,1756307188591150971,1756307188596654753
989712,1756307188631476109,1756307188636969291
986722,1756307188671797287,1756307188677294512
966761,1756307188712146955,1756307188717639291
993753,1756307188752243422,1756307188757749472
1004333,1756307188792536780,1756307188798053334
992412,1756307188832831300,1756307188838337750
1000422,1756307188873142527,1756307188878661000
987672,1756307188913490078,1756307188918996797
1011682,1756307188953587081,1756307188959119273
986632,1756307188993877221,1756307188999378558
990942,1756307189034209621,1756307189039715251
1025173,1756307189074517847,1756307189080061560
995452,1756307189114819676,1756307189120331909
1000442,1756307189155149626,1756307189160668613
971051,1756307189195461032,1756307189200953115
970132,1756307189235777312,1756307189241257047
999552,1756307189275873967,1756307189281386501
996042,1756307189315967232,1756307189321486589
996093,1756307189356062006,1756307189361575054
947842,1756307189396374685,1756307189401840367
997282,1756307189436668305,1756307189442181817
991822,1756307189476985781,1756307189482496385
992281,1756307189517292690,1756307189522810510
980162,1756307189557610297,1756307189563114933
1006562,1756307189597918067,1756307189603441942
993922,1756307189638240753,1756307189643753302
983412,1756307189678550372,1756307189684060032
1000032,1756307189718871570,1756307189724377666
947002,1756307189759198146,1756307189764671777
1009572,1756307189799529797,1756307189805068161
968272,1756307189839874234,1756307189845384338
962602,1756307189879942210,1756307189885458538
967211,1756307189920032906,1756307189925555826
982342,1756307189960095891,1756307189965636713
962872,1756307190000167855,1756307190005682237
960441,1756307190040240100,1756307190045752358
975491,1756307190080535708,1756307190086056470
969202,1756307190120701743,1756307190126216100
975332,1756307190160996810,1756307190166510227
970022,1756307190201289578,1756307190206804306
938981,1756307190241384382,1756307190246871716
956921,1756307190281682241,1756307190287183498
982912,1756307190322039347,1756307190327561740
938401,1756307190362364015,1756307190367848242
976982,1756307190402668832,1756307190408191893
981692,1756307190443007530,1756307190448537086
956162,1756307190483287247,1756307190488789784
972842,1756307190523412332,1756307190528929974
981031,1756307190563715970,1756307190569244857
976722,1756307190604028675,1756307190609548430
976172,1756307190644349555,1756307190649873201
983362,1756307190684671002,1756307190690202461
979472,1756307190724998479,1756307190730523768
964282,1756307190765362269,1756307190770879573
971562,1756307190805701595,1756307190811224481
966532,1756307190846026643,1756307190851538351
985972,1756307190886346941,1756307190891882843
970511,1756307190926664758,1756307190932187178
982312,1756307190966756983,1756307190972288167
981632,1756307191007108220,1756307191012642888
1000072,1756307191047427057,1756307191052977960
981952,1756307191087731604,1756307191093261761
971891,1756307191128050871,1756307191133574763
984982,1756307191168375017,1756307191173912632
980112,1756307191208682145,1756307191214214057
981442,1756307191248761768,1756307191254295561
968841,1756307191289056336,1756307191294578632
957872,1756307191329376811,1756307191334902139
976622,1756307191369697008,1756307191375228605
976142,1756307191409787243,1756307191415315051
981861,1756307191450080569,1756307191455619088
988073,1756307191490180192,1756307191495718402
971302,1756307191530239497,1756307191535766403
983383,1756307191570533402,1756307191576071371
986703,1756307191610896771,1756307191616436934
971541,1756307191651192197,1756307191656720230
971772,1756307191691484295,1756307191697014197
995252,1756307191731798581,1756307191737349339
979852,1756307191771893993,1756307191777442136
981082,1756307191812217421,1756307191817752912
975862,1756307191852566728,1756307191858101215
1006401,1756307191892868945,1756307191898415696
982341,1756307191932961368,1756307191938493670
986312,1756307191973297457,1756307191978837724
984372,1756307192013395549,1756307192018936725
980232,1756307192053691115,1756307192059230579
974553,1756307192093988473,1756307192099525208
982852,1756307192134275368,1756307192139818735
984071,1756307192174555314,1756307192180102368
997862,1756307192214870470,1756307192220415601
984951,1756307192254969192,1756307192260506761
960971,1756307192295063015,1756307192300584554
1000582,1756307192335166978,1756307192340724447
980282,1756307192375264893,1756307192380803355
981883,1756307192415362665,1756307192420902287
997542,1756307192455437489,1756307192460996159
995643,1756307192495740554,1756307192501295137
989252,1756307192536049422,1756307192541601037
985073,1756307192576370297,1756307192581915769
977722,1756307192616438049,1756307192621978906
981132,1756307192656770198,1756307192662317706
982221,1756307192697097844,1756307192702642043
993031,1756307192737405609,1756307192742965706
972683,1756307192777740945,1756307192783282672
987863,1756307192818054890,1756307192823607102
989272,1756307192858387819,1756307192863942976
969711,1756307192898482993,1756307192904021012
959953,1756307192938558574,1756307192944090829
963641,1756307192978632598,1756307192984168629
1002063,1756307193018727470,1756307193024298756
981612,1756307193058818152,1756307193064366314
987603,1756307193098917775,1756307193104466111
970711,1756307193138998958,1756307193144545606
965151,1756307193179285303,1756307193184828008
971872,1756307193219565448,1756307193225111897
976522,1756307193259644780,1756307193265191916
956151,1756307193299941526,1756307193305466648
982322,1756307193340021348,1756307193345575606
974612,1756307193380117031,1756307193385663003
970901,1756307193420204274,1756307193425752379
1004312,1756307193460403988,1756307193465978863
994772,1756307193500505660,1756307193506073684
972762,1756307193540800465,1756307193546347546
969382,1756307193581117611,1756307193586662355
973571,1756307193621214934,1756307193626761068
980432,1756307193661540689,1756307193667098087
981272,1756307193701892835,1756307193707449808
969371,1756307193742219951,1756307193747766544
989502,1756307193782513906,1756307193788080781
959241,1756307193822793131,1756307193828333240
971692,1756307193863088786,1756307193868638867
972902,1756307193903380471,1756307193908932094
977852,1756307193943700476,1756307193949256621
986392,1756307193984021662,1756307193989582212
975252,1756307194024086982,1756307194029639422
982132,1756307194064181445,1756307194069738951
989362,1756307194104478330,1756307194110044097
988662,1756307194144773145,1756307194150338241
980251,1756307194185092810,1756307194190650827
952772,1756307194225398884,1756307194230933203
934812,1756307194265715177,1756307194271232150
975032,1756307194306045063,1756307194311599100
957871,1756307194346366449,1756307194351915946
971762,1756307194386690553,1756307194392243752
984741,1756307194426994328,1756307194432558109
978642,1756307194467318573,1756307194472872705
974271,1756307194507627268,1756307194513186582
976852,1756307194547921120,1756307194553481100
976312,1756307194588253986,1756307194593815849
970872,1756307194628572931,1756307194634129869
1008322,1756307194668888817,1756307194674469199
982962,1756307194709217092,1756307194714782621
975132,1756307194749543606,1756307194755103945
929281,1756307194789874000,1756307194795387096
976252,1756307194830167955,1756307194835733505
985512,1756307194870488220,1756307194876060368
973671,1756307194910800596,1756307194916361692
978042,1756307194951102080,1756307194956665391
963101,1756307194991167552,1756307194996736137
972942,1756307195031247143,1756307195036823643
951882,1756307195071310094,1756307195076862936
972042,1756307195111409075,1756307195116961143
993362,1756307195151704700,1756307195157276611
1006562,1756307195191798770,1756307195197378910
961611,1756307195231874042,1756307195237414212
986172,1756307195271962124,1756307195277523195
992322,1756307195312257187,1756307195317827713
1002222,1756307195352348437,1756307195357927827
1003092,1756307195392440070,1756307195398016468
1007772,1756307195432518559,1756307195438104047
1013732,1756307195472799334,1756307195478390529
993672,1756307195513110849,1756307195518681980
979992,1756307195553452333,1756307195559028118
992612,1756307195593732867,1756307195599310969
996522,1756307195634014501,1756307195639594618
989742,1756307195674105673,1756307195679673355
1005042,1756307195714432366,1756307195720018252
982492,1756307195754745521,1756307195760312377
998383,1756307195795064053,1756307195800638908
986400,1756307195835358148,1756307195840933209
982551,1756307195875665973,1756307195881235565
1015962,1756307195916017444,1756307195921603866
988793,1756307195956340949,1756307195961916956
990752,1756307195996642345,1756307196002222524
