Timers,TxTime,RxTime
1559732,1756307050831333718,1756307050837007153
1558882,1756307050871600226,1756307050877274000
1559140,1756307050911692753,1756307050917366796
1557592,1756307050951987141,1756307050957661390
1558870,1756307050992280440,1756307050997955969
1559840,1756307051032588918,1756307051038266486
1559430,1756307051072910126,1756307051078587924
1558123,1756307051113205153,1756307051118882539
1559041,1756307051153497993,1756307051159177134
1557640,1756307051193792311,1756307051199471531
1559753,1756307051234134418,1756307051239816115
1560121,1756307051274459397,1756307051280142067
1558331,1756307051314551865,1756307051320233636
1559243,1756307051354649280,1756307051360333261
1559032,1756307051394743737,1756307051400427992
1557881,1756307051435022686,1756307051440707090
1558991,1756307051475316494,1756307051481002464
1559531,1756307051515610583,1756307051521297476
1559990,1756307051555906071,1756307051561593890
1559150,1756307051596211469,1756307051601899061
1558141,1756307051636557327,1756307051642245883
1559202,1756307051676875015,1756307051682564940
1558952,1756307051717181683,1756307051722873037
1559630,1756307051757521703,1756307051763213691
1559381,1756307051797814770,1756307051803507360
1559021,1756307051838151099,1756307051843844687
1560062,1756307051878480717,1756307051884175766
1561062,1756307051918794355,1756307051924490331
1559891,1756307051959138214,1756307051964834518
1560751,1756307051999447602,1756307052005145669
1578642,1756307052039513566,1756307052045225008
1561181,1756307052079570363,1756307052085270602
1561001,1756307052119650679,1756307052125350600
1562072,1756307052159728436,1756307052165430576
1558831,1756307052199825023,1756307052205525118
1560261,1756307052239919659,1756307052245621561
1559131,1756307052280009496,1756307052285711378
1560131,1756307052320094793,1756307052325797812
1559461,1756307052360387751,1756307052366092253
1558861,1756307052400679499,1756307052406383946
1561401,1756307052441027108,1756307052446734960
1558981,1756307052481378396,1756307052487084798
1559781,1756307052521683464,1756307052527391042
1560411,1756307052561970792,1756307052567679607
1560691,1756307052602278690,1756307052607988909
1559382,1756307052642598968,1756307052648309253
1558891,1756307052682939867,1756307052688650992
1558291,1756307052723219205,1756307052728930145
1559781,1756307052763312912,1756307052769026136
1559281,1756307052803604620,1756307052809318099
1558461,1756307052843896498,1756307052849610695
1557542,1756307052884189876,1756307052889904223
1560271,1756307052924479385,1756307052930196795
1558241,1756307052964807733,1756307052970524044
1558701,1756307053005096251,1756307053010813458
1559121,1756307053045171986,1756307053050890563
1559471,1756307053085260143,1756307053090978872
1751562,1756307053125554531,1756307053131274824
1558831,1756307053165848829,1756307053171569882
1559421,1756307053206144627,1756307053211866022
1560681,1756307053246493596,1756307053252216973
1557752,1756307053286838674,1756307053292561592
1557511,1756307053327137753,1756307053332861104
1560601,1756307053367449851,1756307053373175245
1560081,1756307053407785580,1756307053413512592
1559141,1756307053448092358,1756307053453819129
1559181,1756307053488394426,1756307053494122087
1561302,1756307053528693454,1756307053534424675
1559371,1756307053568786381,1756307053574516167
1559161,1756307053609094699,1756307053614825144
1559401,1756307053649395746,1756307053655126720
1559711,1756307053689711125,1756307053695443127
1560781,1756307053729787301,1756307053735520794
1559821,1756307053769882288,1756307053775616231
1558671,1756307053810174456,1756307053815908305
1558041,1756307053850451674,1756307053856186293
1558981,1756307053890748593,1756307053896484586
1560771,1756307053931072971,1756307053936811369
1559811,1756307053971367587,1756307053977105967
1559221,1756307054011727956,1756307054017466110
1558311,1756307054052021204,1756307054057760012
1560391,1756307054092316762,1756307054098058327
1559611,1756307054132612950,1756307054138353762
1558381,1756307054172705327,1756307054178446909
1558611,1756307054212998065,1756307054218740195
1559501,1756307054253071362,1756307054258815112
1563521,1756307054293167969,1756307054298915418
1561341,1756307054333466257,1756307054339213102
1559281,1756307054373767124,1756307054379513317
1557921,1756307054414063852,1756307054419810135
1559331,1756307054454400490,1756307054460147655
1559351,1756307054494761299,1756307054500509493
1559391,1756307054535136358,1756307054540885148
1559291,1756307054575432846,1756307054581182294
1559901,1756307054615528943,1756307054621279810
1558202,1756307054655821690,1756307054661571913
1559781,1756307054696161298,1756307054701913300
1558542,1756307054736488696,1756307054742240669
1559631,1756307054776783095,1756307054782536918
1560061,1756307054817076073,1756307054822829904
1560631,1756307054857188999,1756307054862944629
