Timers,TxTime,RxTime
967302,1756307224185285877,1756307224191148227
1017872,1756307224225564903,1756307224231437595
986971,1756307224265660436,1756307224271519255
971151,1756307224305739850,1756307224311598637
1007502,1756307224345956682,1756307224351826492
962762,1756307224386284008,1756307224392107587
988651,1756307224426599895,1756307224432451566
998601,1756307224466918901,1756307224472781499
995241,1756307224507228347,1756307224513089586
996251,1756307224547533003,1756307224553393610
972581,1756307224587846388,1756307224593708225
994362,1756307224628163284,1756307224634020972
1005842,1756307224668475519,1756307224674347467
993762,1756307224708776255,1756307224714639959
987871,1756307224749114612,1756307224754974963
1003861,1756307224789203502,1756307224795076416
997431,1756307224829515838,1756307224835379441
979322,1756307224869608621,1756307224875469667
980102,1756307224909901967,1756307224915761798
995732,1756307224950198083,1756307224956065896
1001821,1756307224990529750,1756307224996402082
978681,1756307225030846296,1756307225036714560
994492,1756307225071165671,1756307225077042373
999482,1756307225111385725,1756307225117251993
1002812,1756307225151696131,1756307225157567795
1102093,1756307225191829091,1756307225197821632
1022322,1756307225231955225,1756307225237806350
938261,1756307225272036438,1756307225277875494
1036962,1756307225312148891,1756307225318049271
1004072,1756307225352480806,1756307225358351746
1013221,1756307225392559369,1756307225398439175
1009422,1756307225432735893,1756307225438610681
1000351,1756307225473054638,1756307225478925128
978591,1756307225513112021,1756307225519003933
963921,1756307225553211701,1756307225559085592
983182,1756307225593345325,1756307225599224650
980311,1756307225633404238,1756307225639289604
982572,1756307225673476610,1756307225679360120
966391,1756307225713531853,1756307225719399380
999052,1756307225753829678,1756307225759702669
991231,1756307225794105982,1756307225799977896
994961,1756307225834178585,1756307225840046872
1021052,1756307225874455869,1756307225880353857
999032,1756307225914529242,1756307225920411333
1001922,1756307225954627054,1756307225960517944
997931,1756307225994922390,1756307226000801884
973502,1756307226035199943,1756307226041074630
1003382,1756307226075532027,1756307226081410138
988591,1756307226115837743,1756307226121726974
997242,1756307226156158285,1756307226162038382
975241,1756307226196460291,1756307226202344155
982551,1756307226236771777,1756307226242645729
1003961,1756307226276838948,1756307226282714424
1011451,1756307226317022100,1756307226322921509
1002341,1756307226357317256,1756307226363202147
1014291,1756307226397412918,1756307226403301141
1024221,1756307226437740663,1756307226443656527
994201,1756307226478058826,1756307226483940352
1012752,1756307226518360091,1756307226524257288
1002571,1756307226558652996,1756307226564539339
1011441,1756307226598945731,1756307226604832721
992282,1756307226639023211,1756307226644912653
986871,1756307226679113633,1756307226685010747
1000632,1756307226719183485,1756307226725070800
1009422,1756307226759379036,1756307226765272236
1003532,1756307226799753242,1756307226805650544
997272,1756307226840095388,1756307226845984651
1003292,1756307226880391762,1756307226886286281
996083,1756307226920669515,1756307226926563526
987552,1756307226960976452,1756307226966854191
999512,1756307227001321534,1756307227007209797
980221,1756307227041421128,1756307227047308632
994040,1756307227081714182,1756307227087604464
993421,1756307227122051976,1756307227127937680
1022212,1756307227162409652,1756307227168324950
1014392,1756307227202707453,1756307227208608996
979041,1756307227242804404,1756307227248696913
1144094,1756307227283026196,1756307227289054752
998101,1756307227323340962,1756307227329234286
1003102,1756307227363634265,1756307227369528919
1004102,1756307227403942170,1756307227409842518
994281,1756307227444042961,1756307227449941642
982150,1756307227484335655,1756307227490225042
991492,1756307227524415465,1756307227530322222
998461,1756307227564694589,1756307227570590263
1010711,1756307227605008093,1756307227610914540
1021052,1756307227645320445,1756307227651237133
1004700,1756307227685634861,1756307227691531407
994760,1756307227725930916,1756307227731827615
1000520,1756307227766253539,1756307227772150817
1002492,1756307227806552382,1756307227812457255
991921,1756307227846846266,1756307227852749817
1004920,1756307227887150371,1756307227893052556
1000630,1756307227927428473,1756307227933327950
1004771,1756307227967742539,1756307227973643061
1012882,1756307228008079181,1756307228013985622
1009351,1756307228048390705,1756307228054306503
1011863,1756307228088745118,1756307228094645083
1024421,1756307228129074973,1756307228135000960
1006651,1756307228169416617,1756307228175325260
995181,1756307228209508896,1756307228215436555
967201,1756307228249604127,1756307228255504117
991140,1756307228289700319,1756307228295606370
997541,1756307228329780699,1756307228335682073
996901,1756307228370074332,1756307228375977215
999291,1756307228410366536,1756307228416270146
996872,1756307228450704127,1756307228456605267
1012772,1756307228490799109,1756307228496716546
996251,1756307228531084543,1756307228536990217
1010532,1756307228571382816,1756307228577300241
1016182,1756307228611699039,1756307228617618748
1018132,1756307228651998842,1756307228657913278
1002281,1756307228692324306,1756307228698236621
1008521,1756307228732394376,1756307228738312612
1008921,1756307228772685922,1756307228778598607
1015622,1756307228813019583,1756307228818946358
1005801,1756307228853327677,1756307228859239117
989532,1756307228893418266,1756307228899337571
997111,1756307228933694610,1756307228939600262
1003762,1756307228974016361,1756307228979926769
999931,1756307229014335178,1756307229020250070
1008131,1756307229054627720,1756307229060545722
994181,1756307229094970114,1756307229100881316
993262,1756307229135043482,1756307229140948135
987192,1756307229175381775,1756307229181284125
1003691,1756307229215714119,1756307229221631620
998382,1756307229255813310,1756307229261738313
967281,1756307229296108982,1756307229301990788
1002472,1756307229336401554,1756307229342328789
1013552,1756307229376695918,1756307229382619225
1001562,1756307229417000489,1756307229422913807
1009312,1756307229457316034,1756307229463240031
995361,1756307229497617026,1756307229503533674
996862,1756307229537707484,1756307229543632639
1009602,1756307229578001887,1756307229583926117
1008962,1756307229618282840,1756307229624209650
996042,1756307229658573741,1756307229664496864
1000391,1756307229698867945,1756307229704787560
1000241,1756307229739159378,1756307229745082211
997271,1756307229779440960,1756307229785366624
962201,1756307229819525381,1756307229825446277
998802,1756307229859820942,1756307229865750658
996382,1756307229899911082,1756307229905837625
994822,1756307229940206716,1756307229946131228
1024902,1756307229980501038,1756307229986446887
987692,1756307230020830001,1756307230026741489
973021,1756307230061070812,1756307230066968771
981041,1756307230101365513,1756307230107281058
999471,1756307230141657146,1756307230147579330
1004812,1756307230181971018,1756307230187895374
1004162,1756307230222290150,1756307230228232134
962651,1756307230262633044,1756307230268524950
999881,1756307230302926475,1756307230308862394
1000991,1756307230343218686,1756307230349146352
1002742,1756307230383515168,1756307230389442075
1002911,1756307230423814521,1756307230429741389
1013572,1756307230464140303,1756307230470066234
1014332,1756307230504229972,1756307230510175408
1008091,1756307230544548746,1756307230550480473
1016662,1756307230584896927,1756307230590836874
981581,1756307230624987679,1756307230630918443
1170673,1756307230665217839,1756307230671146872
994031,1756307230705293118,1756307230711246532
963091,1756307230745351467,1756307230751285480
968991,1756307230785427206,1756307230791364066
990102,1756307230825488215,1756307230831444151
932311,1756307230865772948,1756307230871676313
957821,1756307230906067619,1756307230911999665
955741,1756307230946138310,1756307230952068485
966981,1756307230986420271,1756307230992359682
982781,1756307231026509862,1756307231032463346
964491,1756307231066834793,1756307231072766319
981840,1756307231107138775,1756307231113090616
971680,1756307231147426276,1756307231153365303
974851,1756307231187665256,1756307231193607202
968842,1756307231227960586,1756307231233903538
957861,1756307231268255818,1756307231274186063
966402,1756307231308542708,1756307231314484403
953021,1756307231348634349,1756307231354570885
975402,1756307231388725747,1756307231394669437
979921,1756307231429021559,1756307231434971758
959632,1756307231469336469,1756307231475275647
967151,1756307231509630322,1756307231515572256
967901,1756307231549925403,1756307231555874722
970152,1756307231590257934,1756307231596203890
969361,1756307231630562817,1756307231636513736
982361,1756307231670889139,1756307231676827590
964571,1756307231710982779,1756307231716927881
965150,1756307231751058627,1756307231757005894
946832,1756307231791154505,1756307231797095224
952891,1756307231831250124,1756307231837196342
956411,1756307231871345913,1756307231877296603
951611,1756307231911438612,1756307231917384846
953091,1756307231951530412,1756307231957473750
977092,1756307231991824762,1756307231997776716
985320,1756307232032154685,1756307232038102919
989101,1756307232072481483,1756307232078449652
980292,1756307232112809184,1756307232118762402
970040,1756307232153154547,1756307232159106692
932421,1756307232193489318,1756307232199409062
